Date	Opponent	Score	Loss	Record
August 1	Angels	9–8	Clear (7–9)	44–55
August 2	Angels	5–4	Jefferson (4–7)	44–56
August 3	Angels	3–1	Martinez (2–4)	45–56
August 4	@ Indians	11–5	Mirabella (4–10)	45–57
August 5	@ Indians	8–5	Kucek (3–4)	45–58
August 6	@ Indians	5–2	Jefferson (4–8)	45–59
August 7	@ Indians	7–6	Garvin (3–6)	45–60
August 8	Royals	9–0	Clancy (10–8)	45–61
August 8	Royals	7–4	Garvin (3–7)	45–62
August 9	Royals	4–3 (14)	Eastwick (0–1)	46–62
August 10	Royals	8–5	Jefferson (4–9)	46–63
August 12	@ Brewers	3–1	Sorensen (8–8)	47–63
August 12	@ Brewers	5–4	Castro (0–4)	48–63
August 13	@ Brewers	5–4	McLaughlin (4–7)	48–64
August 14	@ Brewers	4–2	Stieb (10–9)	48–65
August 15	@ Royals	4–3	Jefferson (4–10)	48–66
August 16	@ Royals	11–5	Kucek (3–5)	48–67
August 17	@ Royals	8–3	Clancy (11–9)	48–68
August 19	@ Twins	4–3	Corbett (8–5)	49–68
August 20	@ Twins	10–4	Zahn (10–16)	50–68
August 21	@ White Sox	5–3	Jefferson (4–11)	50–69
August 22	@ White Sox	2–0	Clancy (11–10)	50–70
August 23	@ White Sox	5–1	Kucek (3–6)	50–71
August 24	@ White Sox	7–3	Baumgarten (2–8)	51–71
August 25	Rangers	5–1	Todd (1–1)	51–72
August 26	Rangers	8–0	Jefferson (4–12)	51–73
August 27	Rangers	6–4	Medich (10–9)	52–73
August 28	Twins	7–5 (15) †	Jefferson (4–13)	52–74
August 29	Twins	5–2	Stieb (11–10)	52–75
August 30	Twins	3–2	Verhoeven (2–4)	53–75
August 31	Twins	7–1	Koosman (11–12)	54–75
