Tie no	Home team	Score	Away team	Date
1	Southampton	0–0	Everton	14 February 1981
Replay	Everton	1–0	Southampton	17 February 1981
2	Nottingham Forest	2–1	Bristol City	14 February 1981
3	Wolverhampton Wanderers	3–1	Wrexham	14 February 1981
4	Middlesbrough	2–1	Barnsley	14 February 1981
5	Ipswich Town	2–0	Charlton Athletic	14 February 1981
6	Newcastle United	1–1	Exeter City	14 February 1981
Replay	Exeter City	4–0	Newcastle United	18 February 1981
7	Tottenham Hotspur	3–1	Coventry City	14 February 1981
8	Peterborough United	0–1	Manchester City	14 February 1981
