School Year	Football	Cross Country	Soccer	Golf
2003-04	Wooster	Wooster	Lexington	Ashland
2004-05	Wooster	Wooster	Lexington	Ashland
2005-06	Madison, Orrville	Lexington	Ashland, Wooster	Ashland, Wooster
2006-07	Ashland	Wooster	Wooster	Lexington
2007-08	Ashland	Lexington	Wooster	Lexington
2008-09	Lexington	Lexington	Lexington	Ashland
2009-10	Ashland	Lexington	Clear Fork, Lexington	Ashland
2010-11	Clear Fork	Ashland	Wooster	Ashland
2011-12	Ashland	Wooster	Madison	Ashland
2012-13	Madison, Mansfield, West Holmes	Ashland	Ashland	Lexington
2013-14	Mansfield	Ashland	Ashland	Lexington
