Rider	Manufacturer	Laps	Time	Grid
Valentino Rossi	Yamaha	22	44:08.061	2
Dani Pedrosa	Honda	22	+3.890	5
Casey Stoner	Ducati	22	+15.928	3
Jorge Lorenzo	Yamaha	22	+22.494	4
Marco Melandri	Ducati	22	+26.957	12
Nicky Hayden	Honda	22	+28.369	10
Colin Edwards	Yamaha	22	+29.780	1
Toni Elias	Ducati	22	+30.225	15
Loris Capirossi	Suzuki	22	+31.440	6
Shinya Nakano	Honda	22	+35.969	13
Andrea Dovizioso	Honda	22	+36.246	11
James Toseland	Yamaha	22	+43.191	7
Randy de Puniet	Honda	22	+43.442	9
John Hopkins	Kawasaki	22	+45.855	14
Sylvain Guintoli	Ducati	22	+46.330	17
Alex de Angelis	Honda	22	+50.593	16
Anthony West	Kawasaki	22	+1:05.593	18
Chris Vermeulen	Suzuki	6	Retirement	8
