Round	Circuit	Date	Pole Position	Fastest Lap	Winning Driver	Winning Team
1	Oulton Park	13 April	Max Chilton	Nick Tandy	Daniel Ricciardo	Carlin Motorsport
2	Oulton Park	13 April	Walter Grubmüller	Walter Grubmüller	Daniel Ricciardo	Carlin Motorsport
3	Silverstone Circuit	2 May	Max Chilton	Renger van der Zande	Renger van der Zande	Hitech Racing
4	Silverstone Circuit	3 May	Max Chilton	Nick Tandy	Daniel Ricciardo	Carlin Motorsport
5	Rockingham Motor Speedway	31 May	Daniel Ricciardo	Renger van der Zande	Nick Tandy	Joe Tandy Racing
6	Rockingham Motor Speedway	31 May	Marcus Ericsson	Nick Tandy	Marcus Ericsson	Räikkönen Robertson Racing
7	Hockenheimring	6 June	Renger van der Zande	Renger van der Zande	Marcus Ericsson	Räikkönen Robertson Racing
8	Hockenheimring	7 June	Walter Grubmüller	Nick Tandy	Walter Grubmüller	Hitech Racing
9	Snetterton Motor Racing Circuit	5 July	Renger van der Zande	Renger van der Zande	Renger van der Zande	Hitech Racing
10	Snetterton Motor Racing Circuit	5 July	Renger van der Zande	Renger van der Zande	Riki Christodoulou	Fortec Motorsport
11	Donington Park	19 July	Renger van der Zande	Daniel Ricciardo	Walter Grubmüller	Hitech Racing
12	Donington Park	19 July	Daniel Ricciardo	Daniel Ricciardo	Wayne Boyd	T-Sport
13	Circuit de Spa-Francorchamps	24 July	Daniel Ricciardo	Daniel Ricciardo 1	Daniel Ricciardo	Carlin Motorsport
14	Circuit de Spa-Francorchamps	25 July	Adriano Buzaid	Carlos Huertas 1	Adriano Buzaid	T-Sport
15	Silverstone Circuit	16 August	Daniel Ricciardo	Daniel Ricciardo	Daniel Ricciardo	Carlin Motorsport
16	Silverstone Circuit	16 August	Daisuke Nakajima	Max Chilton	Renger van der Zande	Hitech Racing
17	Autódromo Internacional do Algarve	13 September	Renger van der Zande	Renger van der Zande 2	Jules Bianchi	ART Grand Prix
18	Autódromo Internacional do Algarve	13 September	Max Chilton	Renger van der Zande 1	Jules Bianchi	ART Grand Prix
19	Brands Hatch , Kent	20 September	Daniel Ricciardo	Daniel Ricciardo	Daniel Ricciardo	Carlin Motorsport
