Rank	Rider	Team	Speed	Time
1	Roy Richardson	349cc Drixton Honda	101.545mph	1:31.04.39
2	Ryan Farquhar	349cc K4 Honda	100.755mph	1:29.52.41
3	Chris McGahan	350cc Honda	100.238mph	1:30.20.24
4	John Goodall	349cc AJS 7R	98.191mph	1:32.13.21
5	Steve Elliot	349cc Honda	97.573mph	1:32.48.24
6	Tony Myres	349cc Manx Norton	96.776mph	1:34.21.19
7	Rich Hawkins	349cc Ducati	96.672mph	1:33.40.14
8	Dave Madsen-Mygdal	349cc Honda	94.891mph	1:35.25.62
9	Pete Swallow	348cc Petty Manx	93.804mph	1:36.32.01
10	Andy Reynolds	348cc Honda	93.563mph	1:36.46.93
