Coach	Team	Wins	Loss	PCT.	PTS.
Octavio Zambrano	Los Angeles Galaxy	24	8	0.750	68
Bruce Arena	D.C. United	24	8	0.750	58
Bob Bradley	Chicago Fire	20	11	0.645	56
Glenn Myernick	Colorado Rapids	16	16	0.500	44
Tom Fitzgerald	Columbus Crew	15	17	0.469	45
Dave Dir	Dallas Burn	15	17	0.469	37
Alfonso Mondelo	MetroStars	14	17	0.452	38
Brian Quinn	San Jose Clash	13	19	0.406	33
Ron Newman	Kansas City Wizards	12	20	0.375	32
Tim Hankinson	Tampa Bay Mutiny	9	8	0.529	25
Thomas Rongen	New England Revolution	8	18	0.308	20
Carlos Cordoba	Miami Fusion	8	11	0.421	14
Ivo Wortmann	Miami Fusion	7	6	0.538	21
Walter Zenga	New England Revolution	3	3	0.500	9
John Kowalski	Tampa Bay Mutiny	3	12	0.200	9
Bora Milutinovic	MetroStars	1	0	0.100	1
