Driver	Constructor	Laps	Time/Retired	Grid
Mario Andretti	Ferrari	79	1:47:35.5	4
Jackie Stewart	Tyrrell - Ford	79	+20.9	1
Clay Regazzoni	Ferrari	79	+31.4	3
Reine Wisell	Lotus - Ford	79	+ 1:09.4	14
Chris Amon	Matra	78	+ 1 Lap	2
Denny Hulme	McLaren - Ford	78	+ 1 Lap	7
Brian Redman	Surtees - Ford	78	+ 1 Lap	17
Jacky Ickx	Ferrari	78	+ 1 Lap	8
Graham Hill	Brabham - Ford	77	+ 2 Laps	19
Ronnie Peterson	March - Ford	77	+ 2 Laps	13
Henri Pescarolo	March - Ford	77	+ 2 Laps	18
Rolf Stommelen	Surtees - Ford	77	+ 2 Laps	15
Andrea de Adamich	March - Alfa Romeo	75	+4 Laps	22
Emerson Fittipaldi	Lotus - Ford	58	Engine	5
John Surtees	Surtees - Ford	56	Gearbox	6
François Cevert	Tyrrell - Ford	45	Accident	9
Howden Ganley	BRM	42	Physical	24
Pedro Rodríguez	BRM	33	Overheating	10
Dave Charlton	Brabham - Ford	31	Engine	16
Jo Siffert	BRM	31	Overheating	12
John Love	March - Ford	30	Differential	21
Jackie Pretorius	Brabham - Ford	22	Engine	20
Peter Gethin	McLaren - Ford	7	Fuel Leak	11
Jo Bonnier	McLaren - Ford	5	Suspension	23
Alex Soler-Roig	March - Ford	5	Engine	25
