Region	Host	Venue	City	State
East	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
East	University of Virginia	University Hall (University of Virginia)	Charlottesville	Virginia
East	University of Tennessee	Thompson-Boling Arena	Knoxville	Tennessee
East	University of Kansas	Allen Field House	Lawrence	Kansas
Mideast	University of Iowa	Carver–Hawkeye Arena	Iowa City	Indiana
Mideast	University of Connecticut	Harry A. Gampel Pavilion	Storrs	Connecticut
Mideast	Vanderbilt University	Memorial Gymnasium (Vanderbilt University)	Nashville	Tennessee
Mideast	Duke University	Cameron Indoor Stadium	Durham	North Carolina
Midwest	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	Clemson University	Littlejohn Coliseum	Clemson	South Carolina
Midwest	Texas Tech University	Lubbock Municipal Coliseum	Lubbock	Texas
West	Pennsylvania State University	Recreation Building (Rec Hall)	University Park	Pennsylvania
West	University of Colorado	CU Events Center (Coors Events Center)	Boulder	Colorado
West	Stanford University	Maples Pavilion	Stanford	California
West	University of Alabama	Coleman Coliseum	Tuscaloosa	Alabama
