Res.	Record	Opponent	Method	Round	Time	Location
Loss	30–14	Chad Mendes	TKO (punches)	3	0:30	Milwaukee, Wisconsin , United States
Win	30–13	Hatsu Hioki	Decision (split)	3	5:00	Chicago, Illinois , United States
Loss	29–13	Gray Maynard	Decision (split)	5	5:00	Atlantic City, New Jersey , United States
Loss	29–12	Benson Henderson	Decision (unanimous)	3	5:00	Anaheim, California , United States
Win	29–11	Anthony Pettis	Decision (unanimous)	3	5:00	Las Vegas, Nevada , United States
Win	28–11	Takanori Gomi	Submission (guillotine choke)	2	4:27	Las Vegas, Nevada , United States
Win	27–11	Rafael dos Anjos	Submission (jaw injury)	3	1:51	Oakland, California , United States
Win	26–11	Shannon Gugerty	Submission (arm triangle choke)	2	3:40	Broomfield, Colorado , United States
Loss	25–11	Kenny Florian	Submission (rear naked choke)	2	2:19	Memphis, Tennessee , United States
Loss	25–10	Diego Sanchez	Decision (split)	3	5:00	Las Vegas, Nevada , United States
Win	25–9	Nate Diaz	Decision (split)	3	5:00	Las Vegas, Nevada , United States
Win	24–9	Mac Danzig	Decision (unanimous)	3	5:00	Omaha, Nebraska , United States
Win	23–9	Samy Schiavo	TKO (strikes)	1	4:15	Broomfield, Colorado , United States
Loss	22–9	Roger Huerta	Submission (rear naked choke)	3	0:51	Las Vegas, Nevada , United States
Win	22–8	Marcus Aurélio	Decision (split)	3	5:00	Las Vegas, Nevada , United States
Loss	21–8	Tyson Griffin	Decision (split)	3	5:00	Belfast , Northern Ireland
Loss	21–7	Din Thomas	Decision (unanimous)	3	5:00	Hollywood, Florida , United States
Win	21–6	Justin James	Submission (rear-naked choke)	2	4:42	Las Vegas, Nevada , United States
Win	20–6	Joe Martin	Decision (unanimous)	3	5:00	Lemoore, California , United States
Loss	19–6	Yusuke Endo	Submission (armbar)	1	2:47	Tokyo , Japan
Loss	19–5	Gilbert Melendez	Decision (split)	5	5:00	San Jose, California , United States
Win	19–4	Josh Thomson	Decision (unanimous)	5	5:00	San Jose, California , United States
Loss	18–4	Tristan Yunker	Submission (rear-naked choke)	1	1:17	Moline, Illinois , United States
Win	18–3	Joe Jordan	Decision (unanimous)	3	5:00	Lakemoor, Illinois , United States
Win	17–3	Jeff Carsten	TKO (injury)	1	3:01	Hammond, Indiana , United States
Win	16–3	Dave Cochran	Submission (rear naked choke)	1	2:26	Indianapolis, Indiana , United States
Win	15–3	John Strawn	Submission (choke)	2	3:12	Island Lake, Illinois , United States
Win	14–3	Jay Estrada	Submission (rear naked choke)	1	3:42	Illinois , United States
Win	13–3	Bart Palaszewski	Decision (unanimous)	3	5:00	Lakemoor, Illinois , United States
Win	12–3	Alonzo Martinez	Submission (choke)	3	N/A	Des Moines, Iowa , United States
Win	11–3	Chris Mickle	Decision	3	5:00	Des Moines, Iowa , United States
Win	10–3	Alex Carter	Submission	1	2:54	Illinois , United States
Win	9–3	Brandon Adamson	Submission (rear naked choke)	1	3:02	Lakemoor, Illinois , United States
Win	8–3	Billy Guardiola	Submission (ankle lock)	1	N/A	Illinois , United States
Win	7–3	Dennis Davis	KO	1	N/A	Ciudad Juárez , Mexico
Win	6–3	Vito Woods	Submission (guillotine choke)	2	1:19	McHenry, Illinois , United States
Win	5–3	Randy Hauer	TKO	1	2:25	Medina, Minnesota , United States
Win	4–3	Billy Guardiola	Submission (ankle lock)	1	N/A	Cicero, Illinois , United States
Loss	3–3	Gabe Lemley	Submission (armbar)	2	0:33	Fontana, Wisconsin , United States
Win	3–2	Jed Deno	Submission (choke)	1	3:35	Rochester, Minnesota , United States
Win	2–2	Shawn Nolan	N/A	N/A	N/A	Curtiss, Wisconsin , United States
Loss	1–2	Dan Duke	N/A	N/A	N/A	Curtiss, Wisconsin , United States
Win	1–1	Adam Bass	Submission (rear naked choke)	1	2:53	Lake Geneva, Wisconsin , United States
Loss	0–1	Adam Copenhaver	Submission (rear naked choke)	1	N/A	Ottawa, Illinois , United States
