Name	Hanzi	Origin	Launch	Owner
ATV Home	亚洲电视本港台	Hong Kong	1979 (availabled in private cable network)	Asia Television.,Ltd
China Entertainment Television	华娱卫视	Hong Kong	1995	China Entertainment Television Broadcast.,Ltd
Macau Asia Satellite Television	澳亚卫视	Macau	2001	Macau Asia Satellite Television Co.,Ltd
Macau Lotus Television	澳门莲花卫视	Macau	2002	Macau Lotus Television Co.,Ltd
Phoenix Television InfoNews	凤凰卫视资讯台	Hong Kong	2001	Phoenix Satellite Television Holdings.,Ltd
Phoenix Television Movies	凤凰卫视电影台	Hong Kong	1998	Phoenix Satellite Television Holdings.,Ltd
Phoenix Television Chinese	凤凰卫视中文台	Hong Kong	1996	Phoenix Satellite Television Holdings.,Ltd
Phoenix Television Hong Kong	凤凰卫视香港台	Hong Kong	1996	Phoenix Satellite Television Holdings.,Ltd
TVB Jade	无线电视翡翠台	Hong Kong	1979 (availabled in private cable network)	Television Broadcasts.,Ltd
Xing Kong Television	星空卫视	Hong Kong	2002	STAR Greater China.,Ltd
Hong Kong Satellite Television	香港卫视	Hong Kong	2008	Hong Kong STV International Media Group
