School	Nickname	City	Affiliation	Conference	National Championships
Bethune-Cookman University	Wildcats	Daytona Beach	Division I	Mid-Eastern Athletic Conference	0
Florida A&M University	Rattlers	Tallahassee	Division I	Mid-Eastern Athletic Conference	25
Florida Atlantic University	Owls	Boca Raton	Division I	Sun Belt Conference	2
Florida Gulf Coast University	Eagles	Fort Myers	Division I	Atlantic Sun Conference	0
Florida International University	Golden Panthers	Miami	Division I	Sun Belt Conference	4
Florida State University	Seminoles	Tallahassee	Division I	Atlantic Coast Conference	12
Jacksonville University	Dolphins	Jacksonville	Division I	Atlantic Sun Conference	0
Stetson University	Hatters	DeLand	Division I	Atlantic Sun Conference	0
University of Central Florida	Knights	Orlando	Division I	Big East	2
University of Florida	Gators	Gainesville	Division I	Southeastern Conference	26
University of Miami	Hurricanes	Miami	Division I	Atlantic Coast Conference	16
University of North Florida	Ospreys	Jacksonville	Division I	Atlantic Sun Conference	0
University of South Florida	Bulls	Tampa	Division I	Big East Conference	1
Barry University	Buccaneers	Miami	Division II	Sunshine State Conference	9
Eckerd College	Tritons	St. Petersburg	Division II	Sunshine State Conference	0
Flagler College	Saints	St. Augustine	Division II	Peach Belt Conference	0
Florida Southern College	Moccasins	Lakeland	Division II	Sunshine State Conference	27
Florida Institute of Technology	Panthers	Melbourne	Division II	Sunshine State Conference	2
Lynn University	Fighting Knights	Boca Raton	Division II	Sunshine State Conference	19
Nova Southeastern University	Sharks	Fort Lauderdale	Division II	Sunshine State Conference	11
Palm Beach Atlantic University	Sailfish	West Palm Beach	Division II	Independent	0
Rollins College	Tars	Orlando	Division II	Sunshine State Conference	14
Saint Leo University	Lions	St. Leo	Division II	Sunshine State Conference	0
Saint Thomas University	Bobcats	Miami	Division II (NAIA)	The Sun Conference	0
University of Tampa	Spartans	Tampa	Division II	Sunshine State Conference	12
University of West Florida	Argonauts	Pensacola	Division II	Gulf South Conference	5
