Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 2	Houston	L 96–113 (OT)	Mehmet Okur (21)	Carlos Boozer (11)	Deron Williams (8)	EnergySolutions Arena 19,911	1-2
4	November 3	@ Dallas	L 85–96 (OT)	Deron Williams (22)	Mehmet Okur (14)	Mehmet Okur , Deron Williams (5)	American Airlines Center 19,725	1-3
5	November 5	San Antonio	W 113–99 (OT)	Carlos Boozer , Deron Williams (27)	Carlos Boozer (17)	Deron Williams (9)	EnergySolutions Arena 19,797	2-3
6	November 7	Sacramento	L 99–104 (OT)	Deron Williams (29)	Carlos Boozer (17)	Deron Williams (15)	EnergySolutions Arena 18,825	2-4
7	November 9	@ NY Knicks	W 95–93 (OT)	Andrei Kirilenko , Carlos Boozer (23)	Carlos Boozer (14)	Deron Williams (16)	Madison Square Garden 19,355	3-4
8	November 11	@ Boston	L 86–105 (OT)	Ronnie Brewer , Deron Williams (13)	Paul Millsap (13)	Deron Williams , Eric Maynor (4)	TD Garden 18,624	3-5
9	November 13	@ Philadelphia	W 112–90 (OT)	Carlos Boozer (24)	Carlos Boozer (12)	Eric Maynor (11)	Wachovia Center 10,738	4-5
10	November 14	@ Cleveland	L 103–107 (OT)	Carlos Boozer (25)	Carlos Boozer (12)	Ronnie Brewer , Andrei Kirilenko (5)	Quicken Loans Arena 20,562	4-6
11	November 18	Toronto	W 104–91 (OT)	Carlos Boozer (22)	Carlos Boozer (18)	Deron Williams (9)	EnergySolutions Arena 17,879	5-6
12	November 19	@ San Antonio	W 90–83 (OT)	Deron Williams (21)	Carlos Boozer (11)	Deron Williams (9)	AT&T Center 17,519	6-6
13	November 21	Detroit	W 100–97 (OT)	Carlos Boozer , Andrei Kirilenko (22)	Andrei Kirilenko (10)	Deron Williams (11)	EnergySolutions Arena 18,355	7-6
16	November 28	Portland	W 108–92 (OT)	Carlos Boozer (26)	Carlos Boozer (12)	Deron Williams (15)	EnergySolutions Arena 18,051	9-7
