Year	Hydro	Geothermal	Waste	Wood	Utility PV	Onshore Wind	Offshore Wind	Renewable Total	U.S. Total	% Renewable
2002	264.33	14.49	15.04	38.66	0.555	10.34	0	343.44	3858.45	8.90%
2003	275.81	14.24	15.81	37.53	0.534	11.19	0	355.29	3883.18	9.15%
2004	268.42	14.81	15.42	38.12	0.575	14.14	0	351.48	3970.56	8.85%
2005	270.32	14.69	15.42	38.86	0.550	17.81	0	357.65	4055.42	8.82%
2006	289.25	14.57	16.10	38.76	0.508	26.59	0	385.77	4064.70	9.49%
2007	247.51	14.64	16.52	39.01	0.612	34.45	0	352.75	4156.74	8.49%
2008	254.83	14.84	17.73	37.30	0.864	55.36	0	417.72	4119.39	10.14%
2009	273.44	15.01	18.16	36.05	0.16	74.12	0	419.59	3950.31	10.62%
2010	257.08	15.67	18.59	37.61	0.46	94.95	0	428.38	4125.06	10.38%
2011	325.07	16.70	19.79	36.95	1.81	119.75	0	520.07	4105.73	12.67%
