Voting order	Country	Spokespersons	Commentator	Broadcaster
1	Luxembourg	TBC	Jacques Navadic	Télé-Luxembourg
2	Netherlands	Pim Jacobs	Ageeth Scherphuis	NTS
3	Norway	Sverre Christophersen	Odd Grythe	NRK
4	Denmark	TBC	TBC	DR TV
5	Finland	Poppe Berg	Aarno Walli	Suomen Televisio
6	Austria	Ernst Grissemann	Emil Kollpacher	ORF
7	France	Claude Darget	Robert Beauvais	Première Chaîne RTF
8	United Kingdom	Michael Aspel	David Jacobs	BBC TV
8	United Kingdom	Michael Aspel	Tom Sloan	BBC Light Programme
9	Germany	Lia Wöhr	Hermann Rockmann	ARD Deutsches Fernsehen
10	Monaco	TBC	Robert Beauvais	Télé Monte Carlo
11	Portugal	Maria Manuela Furtado	Gomes Ferreira	RTP
12	Italy	Rosanna Vaudetti	Renato Tagliani	Programma Nazionale
13	Yugoslavia	TBC	Miloje Orlović	Televizija Beograd
13	Yugoslavia	TBC	Gordana Bonetti	Televizija Zagreb
13	Yugoslavia	TBC	Tomaž Terček	Televizija Ljubljana
14	Switzerland	Alexandre Burger	Theodor Haller	TV DRS
14	Switzerland	Alexandre Burger	Georges Hardy	TSR
14	Switzerland	Alexandre Burger	Giovanni Bertini	TSI
15	Belgium	André Hagon	Paule Herreman	RTB
15	Belgium	André Hagon	Herman Verelst	BRT
16	Spain	TBC	Federico Gallo	TVE
