Season	No. of stars	No. of weeks	Duration dates	Winner	Second place	Third place
1) Spring 2005	8	8	April 17, 2005 – June 5, 2005	Olivier Janiak & Kamila Kajak	Witold Paszt & Anna Głogowska	Andrzej Nejman & Magdalena Soszyńska-Michno
2) Fall 2005	10	10	September 11, 2005 – December 4, 2005	Katarzyna Cichopek & Marcin Hakiel	Małgorzata Foremniak & Rafał Maserak	Jakub Wesołowski & Edyta Herbuś
3) Spring 2006	10	10	March 5, 2006 – May 14, 2006	Rafał Mroczek & Aneta Piotrowska	Aleksandra Kwaśniewska & Rafał Maserak	Joanna Koroniewska & Robert Kochanek
4) Fall 2006	10	10	September 10, 2006 – November 12, 2006	Kinga Rusin & Stefano Terrazzino	Peter J. Lucas & Dominika Kublik-Marzec	Marcin Mroczek & Edyta Herbuś
5) Spring 2007	10	10	March 4, 2007 – May 6, 2007	Krzysztof Tyniec & Kamila Kajak	Ivan Komarenko & Blanka Winiarska	Katarzyna Tusk & Stefano Terrazzino
6) Fall 2007	14	12	September 9, 2007 – November 25, 2007	Anna Guzik & Łukasz Czarnecki	Justyna Steczkowska & Stefano Terrazzino	Mateusz Damięcki & Ewa Szabatin
7) Spring 2008	14	13	March 2, 2008 – May 25, 2008	Magdalena Walach & Cezary Olszewski	Mariusz Pudzianowski & Magdalena Soszyńska-Michno	Tamara Arciuch & Łukasz Czarnecki
8) Fall 2008	14	13	September 7, 2008 – November 30, 2008	Agata Kulesza & Stefano Terrazzino	Natalia Lesz & Łukasz Czarnecki	Marta Żmuda-Trzebiatowska & Adam Król
9) Spring 2009	12	11	March 8, 2009 – May 17, 2009	Dorota Gardias & Andrej Mosejcuk	Bartek Kasprzykowski & Blanka Winiarska	Jay Delano & Kamila Kajak
10) Fall 2009	12	12	September 6, 2009 – November 29, 2009	Anna Mucha & Rafał Maserak	Natasza Urbańska & Ján Kliment	Michał Kwiatkowski & Janja Lesar
11) Spring 2010	12	12	March 7, 2010 – June 13, 2010	Julia Kamińska & Rafał Maserak	Katarzyna Glinka & Stefano Terrazzino	Katarzyna Grochola & Ján Kliment
12) Fall 2010	14	13	September 5, 2010 – November 28, 2010	Monika Pyrek & Robert Rowiński	Paweł Staliński & Izabela Janachowska	Edyta Górniak & Ján Kliment
13) Fall 2011	14	13	September 4, 2011 – November 27, 2011	Kacper Kuszewski & Anna Głogowska	Bilguun Ariunbaatar & Janja Lesar	Weronika Marczuk & Ján Kliment
