School	Location	Founded	Affiliation	Enrollment	Nickname	Primary conference
Binghamton University	Vestal, NY	1946	Public	14898	Bearcats	America East Conference ( D-I )
University at Buffalo	Buffalo, NY	1846	Public	28192	Bulls	Mid-American Conference ( D-I )
Canisius College	Buffalo, NY	1870	Private/Roman Catholic	5152	Golden Griffins	Metro Atlantic Athletic Conference ( D-I )
Cornell University	Ithaca, NY	1865	Private/Non-sectarian	19800	Big Red	Ivy League ( D-I )
Ithaca College	Ithaca, NY	1892	Private/Non-sectarian	6448	Bombers	Empire 8 ( D-III )
Niagara University	Lewiston, NY	1856	Private/Catholic	3746	Purple Eagles	Metro Atlantic Athletic Conference ( D-I )
Rochester Institute of Technology	Henrietta, NY	1829	Private/Non-sectarian	13861	Tigers	Empire 8 ( D-III )
St. Bonaventure University	Allegany, NY	1858	Private/Catholic	2700	Bonnies	Atlantic 10 Conference ( D-I )
SUNY Cortland	Cortland, NY	1868	Public	7234	Red Dragons	SUNYAC ( D-III )
SUNY Oswego	Oswego, NY	1861	Public	8909	Lakers	SUNYAC ( D-III )
