Driver	Constructor	Laps	Time/Retired	Grid
Juan Pablo Montoya	Williams - BMW	53	1:16:58.493	1
Rubens Barrichello	Ferrari	53	+5.175	2
Ralf Schumacher	Williams - BMW	53	+17.335	4
Michael Schumacher	Ferrari	53	+24.991	3
Pedro de la Rosa	Jaguar - Cosworth	53	+1:14.984	10
Jacques Villeneuve	BAR - Honda	53	+1:22.469	15
Kimi Räikkönen	Sauber - Petronas	53	+1:23.107	9
Jean Alesi	Jordan - Honda	52	+1 Lap	16
Olivier Panis	BAR - Honda	52	+1 Lap	17
Giancarlo Fisichella	Benetton - Renault	52	+1 Lap	14
Nick Heidfeld	Sauber - Petronas	52	+1 Lap	8
Tomáš Enge	Prost - Acer	52	+1 Lap	20
Fernando Alonso	Minardi - European	51	+2 Laps	21
Enrique Bernoldi	Arrows - Asiatech	46	Crankshaft	18
Alex Yoong	Minardi - European	44	Spun off	22
Heinz-Harald Frentzen	Prost - Acer	28	Gearbox	12
Jos Verstappen	Arrows - Asiatech	25	Fuel Pressure	19
Mika Häkkinen	McLaren - Mercedes	19	Gearbox	7
Eddie Irvine	Jaguar - Cosworth	14	Engine	13
David Coulthard	McLaren - Mercedes	6	Engine	6
Jenson Button	Benetton - Renault	4	Engine	11
Jarno Trulli	Jordan - Honda	0	Collision	5
