Opposing Teams	Against	Date	Venue	Status
Wales	13	04/02/2006	Twickenham , London	Six Nations
Italy	16	11/02/2006	Stadio Flaminio , Rome	Six Nations
Scotland	18	25/02/2006	Murrayfield , Edinburgh	Six Nations
France	31	12/03/2006	Stade de France , Saint-Denis	Six Nations
Ireland	28	18/03/2006	Twickenham , London	Six Nations
Australia	34	11/06/2006	Telstra Stadium , Sydney	First Test
Australia	43	17/06/2006	Colonial Stadium , Melbourne	Second Test
New Zealand	41	05/11/2006	Twickenham , London	Test Match
Argentina	25	11/11/2006	Twickenham , London	Test Match
South Africa	21	18/11/2006	Twickenham , London	First Test
South Africa	25	25/11/2006	Twickenham , London	Second Test
