Rider	Manufacturer	Laps	Time/Retired	Grid
Héctor Faubel	Aprilia	19	40:57.408	2
Mattia Pasini	Aprilia	19	+0.070	3
Lukáš Pešek	Derbi	19	+0.222	5
Gábor Talmácsi	Aprilia	19	+0.272	1
Tomoyoshi Koyama	KTM	19	+7.607	4
Pol Espargaró	Aprilia	19	+12.066	10
Simone Corsi	Aprilia	19	+12.394	14
Michael Ranseder	Derbi	19	+13.003	11
Randy Krummenacher	KTM	19	+19.764	6
Sandro Cortese	Aprilia	19	+24.043	8
Esteve Rabat	Honda	19	+33.634	18
Joan Olivé	Aprilia	19	+33.725	16
Bradley Smith	Honda	19	+33.863	13
Alexis Masbou	Honda	19	+34.263	15
Stefano Bianco	Aprilia	19	+39.034	24
Steve Bonsey	KTM	19	+43.841	27
Lorenzo Zanetti	Aprilia	19	+44.121	20
Raffaele De Rosa	Aprilia	19	+44.413	22
Federico Sandi	Aprilia	19	+44.468	21
Mike Di Meglio	Honda	19	+44.666	19
Roberto Tamburini	Aprilia	19	+52.028	14
Nicolás Terol	Derbi	19	+57.920	25
Ricard Cardús	Aprilia	19	+58.099	30
Joey Litjens	Honda	19	+58.538	28
Toni Wirsing	Honda	19	+1:10.607	31
Dino Lombardi	Honda	19	+1:12.7826	34
Hugo van den Berg	Aprilia	19	+1:16.595	26
Danny Webb	Honda	19	+1:23.792	32
Dominique Aegerter	Aprilia	19	+1:23.879	29
Simone Grotzkyj	Aprilia	19	+1:29.979	33
Karel Pešek	Aprilia	18	+1 lap	37
Sergio Gadea	Aprilia	16	Accident	7
Andrea Iannone	Aprilia	15	Retirement	17
Pablo Nieto	Aprilia	11	Accident	9
Robert Mureşan	Derbi	8	Accident	23
Michal Prášek	Honda	7	Retirement	35
Karel Majek	FGR	6	Retirement	36
