Round	Circuit	Date	Length	Pole Position	GT3 Winner	GT4 Winner
1	Oulton Park	22 March	60 mins	No. 14 CR Scuderia	No. 15 CR Scuderia	No. 51 Team RPM
1	Oulton Park	22 March	60 mins	James Sutton Michael Meadows	Paddy Shovlin Michael Cullen	Joe Osbourne Michael Broadhurst
2	Oulton Park	24 March	60 mins	No. 23 Christians in Motorsport	No. 8 Tech 9	No. 88 IMS Motorsport
2	Oulton Park	24 March	60 mins	Hector Lester Allan Simonsen	Oliver Morley Tom Ferrier	Matt Nicoll-Jones Stewart Linn
3	Knockhill	12 April	60 mins	No. 16 CR Scuderia	No. 16 CR Scuderia	No. 55 Rob Austin Racing
3	Knockhill	12 April	60 mins	Jeremy Metcalfe Luke Hines	Jeremy Metcalfe Luke Hines	Hunter Abbott Rob Austin
4	Knockhill	13 April	60 mins	No. 23 Christians in Motorsport	No. 15 CR Scuderia	No. 88 IMS Motorsport
4	Knockhill	13 April	60 mins	Hector Lester Allan Simonsen	Paddy Shovlin Michael Cullen	Matt Nicoll-Jones Stewart Linn
5	Rockingham	25 May	60 mins	No. 9 Tech 9	No. 40 Team Trimite Brookspeed	No. 88 IMS Motorsport
5	Rockingham	25 May	60 mins	Jason Templeman Leo Machitski	James Gormall Jon Barnes	Matt Nicoll-Jones Stewart Linn
6	Rockingham	26 May	60 mins	No. 9 Tech 9	No. 1 Team RPM	No. 55 Rob Austin Racing
6	Rockingham	26 May	60 mins	Jason Templeman Leo Machitski	Paul O'Neill Steve Clark	Hunter Abbott Rob Austin
7	Snetterton	7 June	60 mins	No. 6 Matech GT Racing	No. 40 Team Trimite Brookspeed	No. 55 Rob Austin Racing
7	Snetterton	7 June	60 mins	Alex Mortimer Bradley Ellis	James Gormall Jon Barnes	Hunter Abbott Rob Austin
8	Snetterton	8 June	60 mins	No. 6 Matech GT Racing	No. 6 Matech GT Racing	No. 88 IMS Motorsport
8	Snetterton	8 June	60 mins	Alex Mortimer Bradley Ellis	Alex Mortimer Bradley Ellis	Matt Nicoll-Jones Stewart Linn
9	Thruxton	28 June	60 mins	No. 16 CR Scuderia	No. 23 Christian in Motorsport	No. 88 IMS Motorsport
9	Thruxton	28 June	60 mins	Jeremy Metcalfe Luke Hines	Hector Lester Allan Simonsen	Matt Nicoll-Jones Stewart Linn
10	Thruxton	29 June	60 mins	No. 42 22GT Racing	No. 40 Team Trimite Brookspeed	No. 51 Team RPM
10	Thruxton	29 June	60 mins	Tom Alexander Michael Bentwood	James Gormall Jon Barnes	Joe Osbourne Nigel Moore
11	Brands Hatch	12 July	60 mins	No. 15 CR Scuderia	No. 40 Team Trimite Brookspeed	No. 52 Team RPM
11	Brands Hatch	12 July	60 mins	Paddy Shovlin Michael Cullen	James Gormall Jon Barnes	Nigel Moore
12	Brands Hatch	13 July	60 mins	No. 23 Christian in Motorsport	No. 15 CR Scuderia	No. 88 IMS Motorsport
12	Brands Hatch	13 July	60 mins	Hector Lester Allan Simonsen	Paddy Shovlin Michael Cullen	Matt Nicoll-Jones Stewart Linn
13	Silverstone	17 August	120 mins	No. 20 ABG Motorsport	No. 14 CR Scuderia	No. 88 IMS Motorsport
13	Silverstone	17 August	120 mins	Craig Wilkins Aaron Scott	James Sutton Michael Meadows	Matt Nicoll-Jones Stewart Linn
14	Donington Park	12 October	120 mins	No. 23 Christian in Motorsport	No. 16 CR Scuderia	No. 88 IMS Motorsport
