Rider	Manufacturer	Laps	Time/Retired	Grid
Casey Stoner	Ducati	32	44:20.325	1
Chris Vermeulen	Suzuki	32	+9.865	3
Marco Melandri	Honda	32	+25.641	10
Valentino Rossi	Yamaha	32	+30.664	5
Daniel Pedrosa	Honda	32	+35.622	2
Randy de Puniet	Kawasaki	32	+38.306	13
Anthony West	Kawasaki	32	+41.422	12
Makoto Tamada	Yamaha	32	+42.355	11
Alex Barros	Ducati	32	+43.520	17
Roger Lee Hayden	Kawasaki	32	+43.720	16
Colin Edwards	Yamaha	32	+47.376	8
Shinya Nakano	Honda	32	+52.848	9
Sylvain Guintoli	Yamaha	32	+58.410	14
Carlos Checa	Honda	32	+1'15.366	15
John Hopkins	Suzuki	30	+2 laps	7
Chaz Davies	Ducati	29	+3 laps	20
Nicky Hayden	Honda	22	Retirement	4
Miguel Duhamel	Honda	10	Retirement	19
Kurtis Roberts	KR212V	5	Retirement	18
Loris Capirossi	Ducati	3	Retirement	6
