Rank	Rider	Mon 18 Aug	Tues 19 Aug	Wed 20 Aug	Thurs 21 Aug	Fri 22 Aug
1	James McCullagh 750cc Suzuki	Cancelled No Time	21' 03.68 107.486mph	20' 40.80 109.468mph	—— No Time	19' 06.76 118.445mph
2	Adam Barclay 750cc Suzuki	Cancelled No Time	19' 51.52 114.014mph	—— No Time	19' 12.43 117.862mph	—— No Time
3	Michael Weldon 750cc Suzuki	Cancelled No Time	—— No Time	19' 54.15 113.744mph	21' 12.41 106.749mph	19' 13.10 115.983mph
4	Scott Wilson 750cc Suzuki	Cancelled No Time	20' 57.20 108.040mph	19' 31.48 115.945mph	—— No Time	19' 13.36 117.768mph
5	Ryan McCay 750cc Suzuki	Cancelled No Time	—— No Time	—— No Time	—— No Time	19' 22.38 116.854mph
6	Phillip McGurk 600cc Honda	Cancelled No Time	20' 27.37 112.008mph	20' 05.12 112.709mph	19' 31.60 115.993mph	19' 32.27 115.867mph
7	Mickey Fitzpatrick 600cc Honda	Cancelled No Time	20' 27.37 110.666mph	20' 21.48 111.200mph	20' 07.51 112.486mph	19' 40.71 115.040mph
8	Michael Russell 750cc Suzuki	Cancelled No Time	—— No Time	20' 14.42 111.846mph	20' 06.18 112.610mph	19' 43.70 114.749mph
9	Wayne Kirwan 600cc Yamaha	Cancelled No Time	20' 53.85 108.329mph	20' 35.80 109.911mph	—— No Time	19' 44.05 114.715mph
10	Ryan Kneen 750cc Suzuki	Cancelled No Time	21' 57.33 103.109mph	21' 08.05 117.006mph	20' 23.72 110.996mph	19' 45.85 114.542mph
11	Kevin Fitzpatrick 750cc Suzuki	Cancelled No Time	23' 03.92 97.935mph	21' 01.43 107.678mph	—— No Time	19' 45.86 114.540mph
12	Simon Fulton 750cc Suzuki	Cancelled No Time	20' 51.06 108.571mph	20' 03.42 112.869mph	—— No Time	19' 47.20 114.450mph
13	Trevor Ferguson 750cc Suzuki	Cancelled No Time	20' 53.85 108.329mph	20' 35.80 109.911mph	20' 50.82 111.717mph	19' 49.46 114.145mph
14	Peter Symes 750cc Suzuki	Cancelled No Time	20' 50.08 108.655mph	20' 19.74 111.358mph	20' 06.01 112.626mph	19' 53.20 113.835mph
15	Stephen Mcllvenna 600cc Yamaha	Cancelled No Time	20' 39.26 109.604mph	19' 57.52 113.425mph	19' 54.33 113.728mph	19' 53.47 113.809mph
16	Glyn Jones 750cc Suzuki	Cancelled No Time	—— No Time	20' 47.24 108.903mph	—— No Time	19' 54.41 113.720mph
17	Andrew Jackson 600cc Honda	Cancelled No Time	—— No Time	20' 07.89 112.450mph	20' 02.62 112.943mph	20' 07.82 112.457mph
18	Bill Callister 600cc Honda	Cancelled No Time	20' 37.06 109.799mph	20' 05.81 112.645mph	20' 24.70 110.908mph	20' 29.17 110.504mph
