Edition	Year	Winner	Runner-up	Third
1	1993	Vardar	Tikveš	SAK Klagenfurt
2	1994	Pobeda	Tikveš	Vardar
3	1995	Osogovo	Sileks	Tikveš
4	1996	Sileks	Čukarički Stankom	Sloga Jugomagnat
5	1997	Sileks	TBC	TBC
6	1998	Partizan Belgrade	Tikveš	TBC
7	1999	Pobeda	TBC	TBC
8	2000	Pobeda	Partizan Belgrade	Tikveš
9	2001	Vardar	TBC	TBC
10	2002	Pobeda	Tikveš	Teleoptik
11	2003	Budućnost BD	Napredok	Teleoptik
12	2006	Vardar	Kožuf	Tikveš
13	2010	Sileks	Renova	Tikveš
14	2011	Tikveš	Vardar	Pelister
15	2012	Vihren Sandanski	Sileks	Tikveš
