Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	24 April 1988	Singapore	Hard	Natalia Bykova	Leila Meskhi Svetlana Cherneva	7–6, 6–3
Runner-up	12 November 1989	Nashville , Tennessee, USA	Hard	Leila Meskhi	Manon Bollegraf Meredith McGrath	6–1, 6–7, 6–7
Winner	4 February 1990	Auckland , New Zealand	Hard	Leila Meskhi	Jill Hetherington Robin White	3–6, 6–3, 7–6
Winner	11 February 1990	Wellington , New Zealand	Hard	Leila Meskhi	Michelle Jaggard Julia Richardson	6–3, 2–6, 6–4
Winner	28 October 1990	Dorado , Puerto Rico	Hard	Elena Brioukhovets	Amy Frazier Julia Richardson	6–4, 6–2
Winner	29 September 1991	St. Petersburg , USSR	Carpet	Elena Brioukhovets	Isabelle Demongeot Jo Durie	7–5, 6–3
Winner	19 April 1992	Pattaya , Thailand	Hard	Isabelle Demongeot	Pascale Paradis-Mangon Sandrine Testud	6–1, 6–1
Winner	26 April 1992	Kuala Lumpur , Malaysia	Hard	Isabelle Demongeot	Rika Hiraki Petra Langrová	2–6, 6–4, 6–1
Winner	11 July 1993	Palermo , Italy	Clay	Karin Kschwendt	Silvia Farina Brenda Schultz	6–4, 7–6
Winner	24 October 1993	Brighton , England	Carpet	Laura Golarsa	Anke Huber Larisa Savchenko	6–3, 1–6, 6–4
Winner	9 January 1994	Brisbane , Australia	Hard	Laura Golarsa	Jenny Byrne Rachel McQuillan	6–3, 6–1
Winner	11 August 1996	Maria Lankowitz , Austria	Clay	Janette Husárová	Lenka Cenková Katerina Kroupova	6–4, 7–5
Winner	3 November 1996	Moscow , Russia	Carpet	Larisa Savchenko	Silvia Farina Barbara Schett	7–6, 4–6, 6–1
