Tie no	Home team	Score	Away team	Date
1	Blackpool	1–1	Manchester City	30 January 1988
Replay	Manchester City	2–1	Blackpool	3 February 1988
2	Aston Villa	0–2	Liverpool	31 January 1988
3	Luton Town	2–1	Southampton	30 January 1988
4	Everton	1–1	Middlesbrough	30 January 1988
Replay	Middlesbrough	2–2	Everton	3 February 1988
Replay	Everton	2–1	Middlesbrough	9 February 1988
5	Newcastle United	5–0	Swindon Town	30 January 1988
6	Queens Park Rangers	3–1	West Ham United	30 January 1988
7	Barnsley	0–2	Birmingham City	30 January 1988
8	Coventry City	0–1	Watford	30 January 1988
9	Portsmouth	2–1	Sheffield United	1 February 1988
10	Brighton & Hove Albion	1–2	Arsenal	30 January 1988
11	Manchester United	2–0	Chelsea	30 January 1988
12	Plymouth Argyle	1–0	Shrewsbury Town	30 January 1988
13	Bradford City	4–2	Oxford United	30 January 1988
14	Mansfield Town	1–2	Wimbledon	30 January 1988
15	Port Vale	2–1	Tottenham Hotspur	30 January 1988
16	Leyton Orient	1–2	Nottingham Forest	30 January 1988
