Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 1	San Antonio	L 88–97 (OT)	Eric Gordon (23)	Blake Griffin , Chris Kaman (8)	Eric Gordon (11)	Staples Center 14,964	0–4
5	November 3	Oklahoma City	W 107–92 (OT)	Eric Gordon (27)	Blake Griffin (9)	Eric Bledsoe (8)	Staples Center 18,414	1–4
6	November 5	@ Denver	L 104–111 (OT)	Blake Griffin (26)	Blake Griffin (10)	Eric Bledsoe (13)	Pepsi Center 15,559	1–5
7	November 6	@ Utah	L 107–109 (2OT)	Eric Gordon (27)	Blake Griffin (17)	Eric Gordon (5)	EnergySolutions Arena 19,911	1–6
8	November 9	@ New Orleans	L 82–101 (OT)	Al-Farouq Aminu (20)	Al-Farouq Aminu (8)	Eric Bledsoe (8)	New Orleans Arena 12,479	1–7
9	November 10	@ San Antonio	L 95–107 (OT)	Rasual Butler (18)	Blake Griffin (8)	Eric Bledsoe , Willie Warren (6)	AT&T Center 17,309	1–8
10	November 12	Detroit	L 107–113 (OT)	Eric Gordon (28)	Blake Griffin (18)	Eric Bledsoe , Eric Gordon (5)	Staples Center 16,960	1–9
11	November 15	New Jersey	L 96–110 (OT)	Eric Gordon (30)	Eric Bledsoe , DeAndre Jordan (8)	Eric Bledsoe (6)	Staples Center 14,516	1–10
12	November 17	@ Minnesota	L 111–113 (OT)	Eric Gordon (30)	Blake Griffin (17)	Eric Gordon (7)	Target Center 12,909	1–11
13	November 18	@ Indiana	L 80–107 (OT)	Eric Gordon (19)	Al-Farouq Aminu , Eric Bledsoe , Blake Griffin (8)	Eric Bledsoe (5)	Conseco Fieldhouse 12,459	1–12
14	November 20	New York	L 115–124 (OT)	Blake Griffin (44)	Blake Griffin (15)	Blake Griffin (7)	Staples Center 18,325	1–13
15	November 22	New Orleans	W 99–95 (OT)	Eric Gordon (27)	Blake Griffin (13)	Eric Bledsoe (6)	Staples Center 17,787	2–13
16	November 25	Sacramento	W 100–82 (OT)	Eric Gordon (28)	Blake Griffin (15)	Eric Gordon (6)	Staples Center 11,504	3–13
17	November 26	@ Phoenix	L 108–116 (OT)	Eric Gordon (32)	Blake Griffin (14)	Eric Gordon (6)	US Airways Center 17,486	3–14
