Name	Team	Qual 1	Qual 2	Best
Tristan Gommendy	PKV Racing	1:16.776	no time	1:16.776
Will Power	Team Australia	1:16.841	1:20.943	1:16.841
Sébastien Bourdais	N/H/L Racing	1:16.783	1:21.380	1:16.783
Justin Wilson	RSPORTS	1:16.843	1:20.981	1:16.843
Robert Doornbos	Minardi Team USA	1:16.850	1:22.093	1:16.850
Neel Jani	PKV Racing	1:16.931	1:22.604	1:16.931
Simon Pagenaud	Team Australia	1:16.944	1:21.671	1:16.944
Alex Tagliani	RSPORTS	1:17.256	1:21.610	1:17.256
Graham Rahal	N/H/L Racing	1:17.475	1:21.350	1:17.475
Dan Clarke	Minardi Team USA	1:17.481	1:23.093	1:17.481
Paul Tracy	Forsythe Racing	1:17.629	1:22.266	1:17.629
Jan Heylen	Conquest Racing	1:17.832	1:21.611	1:17.832
Ryan Dalziel	Pacific Coast Motorsports	1:17.965	1:22.804	1:17.965
Oriol Servia	Forsythe Racing	1:17.965	1:21.579	1:17.965
Alex Figge	Pacific Coast Motorsports	1:18.067	no time	1:18.067
Bruno Junqueira	Dale Coyne Racing	1:18.127	1:21.699	1:18.127
Katherine Legge	Dale Coyne Racing	1:18.989	1:26.259	1:18.989
