Season	Series	Races	Wins	Position
1989	Spanish Formula Fiat	7	2	1st
1990	Spanish Formula Ford	10	8	1st
1990	British Formula Ford	6	0	NC
1990	Formula Ford Festival	1	0	12th
1991	Spanish Formula Renault Championship	10	0	4th
1992	Rencontres Internationales de Formule Renault	3	2	1st
1992	Formula Renault Great Britain	12	3	1st
1993	British Formula Three	14	0	6th
1993	Macau Grand Prix	1	0	NC
1993	Masters of Formula Three	1	0	9th
1994	British Formula Three	17	0	19th
1995	All-Japan Formula Three	9	8	1st
1995	Macau Grand Prix	1	0	3rd
1996	Formula Nippon	10	0	8th
1996	All-Japan GT Championship	6	0	13th
1996	Macau Grand Prix	1	0	7th
1997	Formula Nippon	10	6	1st
1997	All-Japan GT Championship	6	2	1st
1998	Formula One	Test driver	Test driver	Test driver
1999	Formula One	16	0	18th
2000	Formula One	17	0	16th
2001	Formula One	Test driver	Test driver	Test driver
2001	Formula One	13	0	16th
2002	Formula One	17	0	21st
2003	Formula One	Test driver	Test driver	Test driver
2004	Formula One	Test driver	Test driver	Test driver
2005	Formula One	Test driver	Test driver	Test driver
2005	Formula One	1	0	20th
2006	Formula One	Test driver	Test driver	Test driver
2006	Formula One	8	0	11th
2007	Formula One	Test driver	Test driver	Test driver
2008	Formula One	Test driver	Test driver	Test driver
2009	Formula One	Test driver	Test driver	Test driver
2010	Formula One	14	0	17th
2011	Formula One	Test driver	Test driver	Test driver
2011	Formula One	1	0	20th
2012	Formula One	20	0	25th
2013	Formula One	Test driver	Test driver	Test driver
