Week	Date	Opponent	Result	Attendance
1	Bye	Bye	Bye	Bye
2	September 14, 1992	at Cleveland Browns	W 27–23	74,765
3	September 20, 1992	Los Angeles Rams	W 26–10	55,945
4	September 27, 1992	at Seattle Seahawks	W 19–17	59,374
5	October 4, 1992	at Buffalo Bills	W 37–10	80,368
6	October 11, 1992	Atlanta Falcons	W 21–17	68,633
7	October 18, 1992	New England Patriots	W 38–17	57,282
8	October 25, 1992	Indianapolis Colts	L 31–20	61,117
9	November 1, 1992	at New York Jets	L 26–14	69,313
10	November 8, 1992	at Indianapolis Colts	W 28–0	59,892
11	November 16, 1992	Buffalo Bills	L 26–20	70,629
12	November 22, 1992	Houston Oilers	W 19–16	63,597
13	November 29, 1992	at New Orleans Saints	L 24–13	68,591
14	December 6, 1992	at San Francisco 49ers	L 27–3	58,474
15	December 14, 1992	Los Angeles Raiders	W 20–7	67,098
16	December 20, 1992	New York Jets	W 19–17	68,275
17	December 27, 1992	at New England Patriots	W 16–13	34,726
