Name	Date of Birth	Height	Weight	Spike	Block
Dan Howard	13.12.1976	208	98	375	340
Grant Sorensen	27.03.1982	199	93	337	328
Ben Hardy	21.09.1974	198	92	335	320
Luke Campbell	08.11.1979	202	98	346	335
Matthew Young	17.07.1981	187	78	335	323
Andrew Earl	15.09.1982	196	85	336	322
David Beard	23.10.1973	197	92	342	325
Travis Moran	16.08.1985	196	95	336	320
David Ferguson	13.03.1982	205	92	348	328
Zane Christensen	19.07.1985	209	103	368	342
Hidde Van Beest	20.07.1979	207	106	350	342
Brett Alderman	27.02.1979	191	87	343	328
