Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 10, 1989	at Philadelphia Eagles	L 7-31	Veterans Stadium	0-1	64,287
2	September 17, 1989	Phoenix Cardinals	L 24-34	Kingdome	0-2	60,444
3	September 24, 1989	at New England Patriots	W 24-3	Sullivan Stadium	1-2	48,025
4	October 1, 1989	at Los Angeles Raiders	W 24-20	Los Angeles Memorial Coliseum	2-2	44,319
5	October 8, 1989	Kansas City Chiefs	L 16-20	Kingdome	2-3	60,715
6	October 15, 1989	at San Diego Chargers	W 17-16	Jack Murphy Stadium	3-3	50,079
7	October 22, 1989	Denver Broncos	L 21-24 OT	Kingdome	3-4	62,353
8	October 29, 1989	San Diego Chargers	W 10-7	Kingdome	4-4	59,691
9	November 5, 1989	at Kansas City Chiefs	L 10-20	Arrowhead Stadium	4-5	54,489
10	November 12, 1989	Cleveland Browns	L 7-17	Kingdome	4-6	58,978
11	November 19, 1989	at New York Giants	L 3-15	Giants Stadium	4-7	75,014
12	November 26, 1989	at Denver Broncos	L 14-41	Mile High Stadium	4-8	75,117
13	December 4, 1989	Buffalo Bills	W 17-16	Kingdome	5-8	57,682
14	December 10, 1989	at Cincinnati Bengals	W 24-17	Riverfront Stadium	6-8	54,744
15	December 17, 1989	Los Angeles Raiders	W 23-17	Kingdome	7-8	61,076
16	December 23, 1989	Washington Redskins	L 0-29	Kingdome	7-9	60,294
