NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )	Apparent magnitude
5101	Spiral galaxy	Hydra	13h21m46.6s	°25′53″	11.5
5102	Lenticular galaxy	Centaurus	13h21m57.8s	°37′47″	10.4
5112	Spiral galaxy	Canes Venatici	13h21m56.7s	°44′07″	12.5
5128	Lenticular galaxy	Centaurus	13h25m27.6s	°01′09″	8.0
5139	Globular cluster	Centaurus	13h26m45.9s	°28′37″	6.1
5161	Spiral galaxy	Centaurus	13h29m14.0s	°10′30″	12.0
5164	Spiral galaxy	Ursa Major	13h27m12.1s	°29′13″	14.6
5170	Spiral galaxy	Virgo	13h29m48.9s	°57′59″	11.9
5189	Planetary nebula	Musca	13h33m33.0s	°58′27″	14.1
5194	Spiral galaxy	Canes Venatici	13h29m52.4s	°11′41″	8.8
5195	Interacting galaxy	Canes Venatici	13h29m59.2s	°16′05″	10.6
