Place	Player	Country	Score	To par
1	David Toms	United States	66-65-65=196	–14
2	Phil Mickelson	United States	66-66-66=198	–12
T3	Shingo Katayama	Japan	67-64-69=200	–10
T3	Steve Lowery	United States	67-67-66=200	–10
5	David Duval	United States	66-68-67=201	–9
6	Davis Love III	United States	71-67-65=203	–7
T7	Stuart Appleby	Australia	66-70-68=204	–6
T7	Paul Azinger	United States	68-67-69=204	–6
T7	Ernie Els	South Africa	67-67-70=204	–6
T10	Mark Calcavecchia	United States	71-68-66=205	–5
T10	Jim Furyk	United States	70-64-71=205	–5
T10	Retief Goosen	South Africa	69-70-66=205	–5
T10	Mark O'Meara	United States	72-63-70=205	–5
