Rank	County	State	Land area (km²)	Land area (mi²)	April 1, 2010 census	April 1, 2010 density (/km²)	April 1, 2010 density (/mi²)	July 1, 2010 official estimate	July 1, 2010 density (/km²)	July 1, 2010 density (/mi²)	July 1, 2011 official estimate	July 1, 2011 density (/km²)	July 1, 2011 density (/mi²)	Mid-2010 to mid-2011 change (Absolute)	Mid-2010 to mid-2011 change (%)	County seat or courthouse
1	Los Angeles County	California	10,509.87	4,057.88	9,818,605	934	2,420	9,826,773	935	2,422	9,889,056	941	2,437	62,283	0.63	Los Angeles
2	Cook County	Illinois	2,448.38	945.33	5,194,675	2,122	5,495	5,199,971	2,124	5,501	5,217,080	2,131	5,519	17,109	0.33	Chicago
3	Harris County	Texas	4,411.99	1,703.48	4,092,459	928	2,402	4,109,362	931	2,412	4,180,894	948	2,454	71,532	1.74	Houston
4	Maricopa County	Arizona	23,828.26	9,200.14	3,817,117	160	415	3,824,834	161	416	3,880,244	163	422	55,410	1.45	Phoenix
5	San Diego County	California	10,895.12	4,206.63	3,095,313	284	736	3,105,115	285	738	3,140,069	288	746	34,954	1.13	San Diego
6	Orange County	California	2,047.56	790.57	3,010,232	1,470	3,808	3,017,598	1,474	3,817	3,055,745	1,492	3,865	38,147	1.26	Santa Ana
7	Miami-Dade County	Florida	4,915.06	1,897.72	2,496,435	508	1,315	2,503,034	509	1,319	2,554,766	520	1,346	51,732	2.07	Miami
8	Kings County	New York	183.41	70.82	2,504,700	13,656	35,370	2,508,515	13,677	35,423	2,532,645	13,809	35,764	24,130	0.96	Brooklyn
9	Dallas County	Texas	2,256.60	871.28	2,368,139	1,049	2,718	2,375,207	1,053	2,726	2,416,014	1,071	2,773	40,807	1.72	Dallas
10	Queens County	New York	281.10	108.53	2,230,722	7,936	20,553	2,233,895	7,947	20,583	2,247,848	7,997	20,711	13,953	0.62	Jamaica
11	Riverside County	California	18,664.70	7,206.48	2,189,641	117	304	2,202,978	118	306	2,239,620	120	311	36,642	1.66	Riverside
12	San Bernardino County	California	51,947.23	20,056.94	2,035,210	39	101	2,042,027	39	102	2,065,377	40	103	23,350	1.14	San Bernardino
13	Clark County	Nevada	20,438.71	7,891.43	1,951,269	95	247	1,953,927	96	248	1,969,975	96	250	16,048	0.82	Las Vegas
14	King County	Washington	5,479.29	2,115.57	1,931,249	352	913	1,937,157	354	916	1,969,722	359	931	32,565	1.68	Seattle
15	Tarrant County	Texas	2,236.74	863.61	1,809,034	809	2,095	1,816,850	812	2,104	1,849,815	827	2,142	32,965	1.81	Fort Worth
16	Santa Clara County	California	3,341.34	1,290.10	1,781,642	533	1,381	1,786,267	535	1,385	1,809,378	542	1,403	23,111	1.29	San Jose
17	Wayne County	Michigan	1,585.28	612.08	1,820,584	1,148	2,974	1,815,246	1,145	2,966	1,802,096	1,137	2,944	-13,150	-0.72	Detroit
18	Broward County	Florida	3,133.33	1,209.79	1,748,066	558	1,445	1,752,122	559	1,448	1,780,172	568	1,471	28,050	1.60	Fort Lauderdale
19	Bexar County	Texas	3,211.12	1,239.82	1,714,773	534	1,383	1,723,561	537	1,390	1,756,153	547	1,416	32,592	1.89	San Antonio
