Province, Community	Contestant	Height	Hometown	Geographical Regions
Azua	Eliza Ferre Reyno	1.65	Azua de Compostela	Sur
Baoruco	Sandy Ovea Guerra	1.80	Santo Domingo	Sur
Barahona	Carolina Alce Latena	1.72	Santo Domingo	Sur
Com. Dom. Canada	Laura Minerva Bedmigton Suarez	1.70	Toronto	Exterior
Com. Dom. Lto. America	Sofy Arcenegas Montalvo	1.77	Las Palmas de Gran Canaria	Exterior
Com. Dom. Miami	Maite Cargoa Lopez	1.67	Miami	Exterior
Com. Dom. Nueva York	Cinthia Marlene Bengacomo Suarez	1.81	Long Island	Exterior
Distrito Nacional	Geisha Natalie Montes de Oca Robles	1.75	Santo Domingo Este	Sur
Duarte	Cindy Zamora Alva	1.83	Santo Domingo	El Cibao
Espaillat	Joana Reynosa Abreu	1.70	Moca	El Cibao
La Romana	Erica Joan Moros Xavier	1.79	La Romana	Sur
La Vega	Cristina Peña Garzon	1.69	Santiago de los Caballeros	El Cibao
Puerto Plata	Rosaura Almánzar de Lara	1.80	Sosúa	El Cibao
Santiago	Sandra Magdalena Batista Ruiz	1.74	Santiago de los Caballeros	El Cibao
Santo Domingo	Erica Marinela Peralta Oviedo	1.70	Santo Domingo	Sur
Valverde	Patricia Duarte Ramones	1.67	Santiago de los Caballeros	El Cibao
