Nat.	Name	Moving to	Type	Transfer window
ITA	Ceccarelli	Milan	Co-ownership Termination	Summer
ITA	Andreolli	Roma	Co-ownership Termination	Summer
ITA	Cordaz	Treviso	Co-ownership Termination	Summer
CMR	Maa Boumsong	Treviso	Co-ownership Termination	Summer
NGA	Eliakwu	Triestina	Co-ownership Termination	Summer
HON	Suazo	Benfica	Loan	Summer
POR	Maniche	AtléticoMadrid	Loan End	Summer
ARG ESP	Solari	San Lorenzo	Contract expired	Summer
URU	Recoba	Panionios	Contract expired	Summer
BRA	César	Bologna	Released	Summer
HUN	Filkor	Sassuolo	Loan	Summer
URU	Ribas	Dijon	Transfer	Summer
POR	Pelé	Porto	Trade	Summer
FRA	Dacourt	Fulham	Loan	Winter
POR	Quaresma	Chelsea	Loan	Winter
ITA	Bonucci	Pisa	Loan	Winter
BEL MAR	Maaroufi	Vicenza	Co-ownership	Winter
ITA	Viviano	Brescia	Loan	Winter
BRA	Adriano	Flamengo	Released	Winter
