Week	Date	Opponent	Result	Attendance
1	September 6, 1992	at Philadelphia Eagles	L 15-13	63,513
2	September 13, 1992	Chicago Bears	W 28-6	68,591
3	September 20, 1992	at Atlanta Falcons	W 10-7	67,328
4	September 27, 1992	San Francisco 49ers	L 16-10	68,591
5	October 4, 1992	at Detroit Lions	W 13-7	66,971
6	October 11, 1992	Los Angeles Rams	W 13-10	68,591
7	October 18, 1992	at Phoenix Cardinals	W 30-21	27,735
8	Bye	Bye	Bye	Bye
9	November 1, 1992	Tampa Bay Buccaneers	W 23-21	68,591
10	November 8, 1992	at New England Patriots	W 31-14	45,413
11	November 15, 1992	at San Francisco 49ers	L 21-20	64,895
12	November 23, 1992	Washington Redskins	W 20-3	68,591
13	November 29, 1992	Miami Dolphins	W 24-13	68,591
14	December 3, 1992	Atlanta Falcons	W 22-14	68,591
15	December 13, 1992	at Los Angeles Rams	W 37-14	47,355
16	December 20, 1992	Buffalo Bills	L 20-16	68,591
17	December 26, 1992	at New York Jets	W 20-0	45,614
