Date	Visitor	Score	Home	Record
November 1	Pittsburgh	5–4	Tampa Bay	9-1-2
November 3	NY Islanders	0–2	Pittsburgh	10-1-2
November 5	St. Louis	4–8	Pittsburgh	11-1-2
November 7	Pittsburgh	2–4	Toronto	11-2-2
November 8	Pittsburgh	2–7	Chicago	11-3-2
November 10	Pittsburgh	4–1	Minnesota	12-3-2
November 12	Quebec	4–4	Pittsburgh	12-3-3
November 13	Pittsburgh	0–8	Detroit	12-4-3
November 17	Buffalo	2–4	Pittsburgh	13-4-3
November 20	Pittsburgh	4–1	New Jersey	14-4-3
November 21	New Jersey	0–2	Pittsburgh	15-4-3
November 23	Pittsburgh	5–2	NY Rangers	16-4-3
November 25	NY Rangers	11–3	Pittsburgh	16-5-3
November 27	Pittsburgh	4–6	Washington	16-6-3
November 28	Washington	3–5	Pittsburgh	17-6-3
