Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	78	1:45:39.055	2
Michael Schumacher	Ferrari	78	+1.050	3
Ralf Schumacher	Williams - BMW	78	+1:07.450	4
Jarno Trulli	Renault	77	+1 Lap	7
Giancarlo Fisichella	Jordan - Honda	77	+1 Lap	11
Heinz-Harald Frentzen	Arrows - Cosworth	77	+1 Lap	12
Rubens Barrichello	Ferrari	77	+1 Lap	5
Nick Heidfeld	Sauber - Petronas	76	+2 Laps	15
Eddie Irvine	Jaguar - Cosworth	76	+2 Laps	19
Pedro de la Rosa	Jaguar - Cosworth	76	+2 Laps	17
Mark Webber	Minardi - Asiatech	76	+2 Laps	20
Enrique Bernoldi	Arrows - Cosworth	76	+2 Laps	21
Mika Salo	Toyota	69	Brakes	9
Felipe Massa	Sauber - Petronas	63	Accident	13
Olivier Panis	BAR - Honda	51	Collision	18
Jenson Button	Renault	51	Collision	8
Juan Pablo Montoya	Williams - BMW	46	Engine	1
Jacques Villeneuve	BAR - Honda	44	Engine	14
Kimi Räikkönen	McLaren - Mercedes	41	Collision	6
Alex Yoong	Minardi - Asiatech	29	Accident	22
Takuma Sato	Jordan - Honda	22	Accident	16
Allan McNish	Toyota	15	Accident	10
Source:	Source:	Source:	Source:	Source:
