Make/ Model	length	Year	Numbers (Quantity Ordered)	Fuel Propulsion
NABI 40-LFW	40'	1998	6001-6156 (156 buses)	LNG
NABI 35-LFW	35'	1998	6181-6195 (15 buses)	LNG
NABI 35-LFW	35'	1999	6196-6210 (15 buses)	LNG
NABI 40-LFW	40'	1999	6211-6245 (35 buses)	LNG
NABI 40-LFW	40'	2001	6262-6281 (20 buses)	CNG
ElDorado National E-Z Rider II	30'	2001	4164-4172 (9 buses)	LNG
NABI 40-LFW	40'	2002	6282-6377 (95 buses)	LNG
NABI 40-LFW	40'	2002	6378-6381 (4 buses)	LNG
NABI 45C-LFW	45'	2003	7101-7123 (23 buses)	LNG
NABI 45C-LFW	45'	2004	7124-7156 (33 buses)	LNG
NABI 45C-LFW	45'	2004	7157-7164 (8 buses)	LNG
New Flyer D60LF	60'	2004	8001-8020 (20 buses)	Diesel
StarTrans Replica Trolley	30'	2004	5001-5007 (7 buses)	Bio-Diesel
StarTrans Senator	25'	2005	Unknown	Diesel
ElDorado National Aerotech	25'	2005	Unknown	Diesel
StarTrans Replica Trolley	30'	2006	5008-5014 (7 buses)	Bio-Diesel
New Flyer C40LFR	40'	2006	6401-6452 (52 buses)	CNG
NABI 60-BRT	60'	2006	8501-8510 (10 buses)	CNG
New Flyer D40LFR	40'	2007	6453-6456 (4 buses)	Diesel
New Flyer D40LFR	40'	2007	6457-6460, 6481-6500 (24 buses)	Diesel
New Flyer D40LF	40'	2007	6501-6596 (96 buses)	Diesel
New Flyer D60LF	60'	2007	8021-8050 (30 buses)	Diesel
StarTrans Senator	25'	2007	1461–1500 (40 buses)	Gasoline
ElDorado National Aerotech	25'	2008	Unknown	Diesel
New Flyer C40LFR	40'	2008	6597-6647 (51 buses)	CNG
New Flyer D60LF	60'	2008	8051-8064 (14 buses)	Diesel
New Flyer D62LFA	62'	2008	8511-8520 (10 buses)	Diesel
ElDorado National Aerotech	25'	2008	1521, 1529 (2 buses)	Bio-Diesel
New Flyer C40LFR	40'	2009	6648-6668 (21 buses)	CNG
New Flyer L40LFR	40'	2010	6669-6675 (7 buses)	LNG
New Flyer D42LFA	40'	2010	7001-7009 (9 buses)	Diesel
ElDorado National Passport	30'	2010	Unknown	Diesel
New Flyer C40LFR	40'	2011	6676-6697 (22 buses)	CNG
New Flyer DE60LFR	60'	2011	8065-8081 (17 buses)	Diesel-electric Hybrid
New Flyer C40LFR	40'	2012	6698-6713 (16 buses)	CNG
New Flyer C40LFR	40'	2012	6714-6733 (20 buses)	CNG
New Flyer MiDi 30'	30'	2013	T101 (1 bus)	Diesel
Starcraft Bus Allstar	25'	2013	1551-1584 (34 buses)	CNG
Gillig Low Floor Hybrid	29'	2013	4505-4508 (4 buses)	Biodiesel-electric hybrid
Gillig Low Floor Hybrid	35'	2013	4509-4514 (6 buses)	Biodiesel-electric hybrid
