Season	Level	Division	Section	Administration	Position
1993	Tier 3	Kakkonen (Second Division)	West Group	Finnish FA (Suomen Pallolitto)	6th
1994	Tier 3	Kakkonen (Second Division)	West Group	Finnish FA (Suomen Pallolitto)	3rd
1995	Tier 3	Kakkonen (Second Division)	South Group	Finnish FA (Suomen Pallolitto)	1st
1996	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	1st
1997	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	8th
1998	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	4th
1999	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	1st
2000	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	1st
2001	Tier 2	Ykkönen (First Division)	South Group	Finnish FA (Suomen Pallolitto)	5th
2002	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	2nd
2003	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	2nd
2004	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	5th
2005	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	2nd
2006	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	3rd
2007	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	2nd
2008	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	4th
2009	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	3rd
2010	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	4th
2011	Tier 4	Kolmonen (Third Division)	Section 1	Helsinki & Uusimaa (SPL Uusimaa)	2nd
