Season	League	Teams	Home	Away
1945-46	Oberliga Süd (I)	TSV Schwaben Augsburg - BC Augsburg	3-0	2-2
1946-47	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	1-1	1-0
1948-49	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	2-3	4-0
1949-50	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	1-1	0-3
1950-51	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	1-1	0-5
1954-55	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	1-4	1-2
1955-56	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	2-1	3-2
1956-57	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	5-2	1-3
1960-61	2nd Oberliga Süd (II)	TSV Schwaben Augsburg - BC Augsburg	0-3	0-1
1961-62	Oberliga Süd (I)	TSV Schwaben Augsburg - BC Augsburg	2-0	1-0
1962-63	Oberliga Süd	TSV Schwaben Augsburg - BC Augsburg	0-1	2-3
1963-64	Regionalliga Süd (II)	TSV Schwaben Augsburg - BC Augsburg	0-0	1-1
1966-67	Regionalliga Süd	TSV Schwaben Augsburg - BC Augsburg	1-0	2-0
