Date	Pro-democracy	Pro-Beijing	Don't know / undecided	Sample size	Organisation
25 November	Anson Chan 35.1%	Regina Ip 24.5%	14.1%	611	Lingnan University
13 November	Anson Chan 34.3%	Regina Ip 21.1%	29.8%	620	Lingnan University
4 – 7 September	Anson Chan 39.25%	Regina Ip 35.75	25%	428	Ming Pao phone poll
4 – 5 September	Anson Chan 52.2%	Regina Ip 32.3%	6.2%	502	Apple Daily / HKU POP poll
23 – 26 August	Cyd Ho 21% Raymond Wong 10% Kam Nai-wai 3%	Regina Ip 45%	21%	289	Ming Pao phone poll
23 – 26 August	Cyd Ho 34%	Regina Ip 50%	16%	289	Ming Pao phone poll
23 – 26 August	Raymond Wong 30%	Regina Ip 56%	14%	289	Ming Pao phone poll
10 – 13 August	Cyd Ho 27% Kam Nai Wai 6% Lo Wing Lok 4%	Regina Ip 28% Ip Kwok Him 8%	27%	299	Ming Pao phone poll
10 – 13 August	Cyd Ho 38%	Regina Ip 43%	19%	299	Ming Pao phone poll
10 – 13 August	Cyd Ho 48%	Ip Kwok Him 29%	23%	299	Ming Pao phone poll
