Week	Date	Opponent	Result	Attendance
1	September 21, 1969	at Pittsburgh Steelers	L 16-13	51,360
2	September 28, 1969	New York Giants	W 24-0	54,358
3	October 5, 1969	at Cleveland Browns	W 28-21	82,833
4	October 12, 1969	Green Bay Packers	L 28-17	58,384
5	October 19, 1969	Chicago Bears	W 13-7	54,732
6	October 26, 1969	at Minnesota Vikings	L 24-10	47,900
7	November 2, 1969	at San Francisco 49ers	W 26-14	35,100
8	November 9, 1969	Atlanta Falcons	W 27-21	53,242
9	November 16, 1969	St. Louis Cardinals	W 20-0	51,749
10	November 23, 1969	at Green Bay Packers	W 16-10	50,861
11	November 27, 1969	Minnesota Vikings	L 27-0	57,906
12	December 7, 1969	at Baltimore Colts	T 17-17	60,238
13	December 14, 1969	Los Angeles Rams	W 28-0	53,256
14	December 21, 1969	at Chicago Bears	W 20-3	41,879
