Title	Russian	Transliteration	Original Text	Start
Why did you grow pale early	Что ты рано, зоренька	Shto ty rano, zaren'ka	Sergey Solovyov	1852
The beautiful girl does not love me	Разлюбила красна девица	Razlyubila krasna devitsa	A. Vinogradov	1853
Listen to my song, my friends	Слушайте, подруженьки, песенку мою	Slushaite, podruzhen'ki, pesenku moyu	Iven Kruse	1853
Thou lovely fisher-girl	Красавица рыбачка!	Krasavitsa rybachka	Heinrich Heine	1854
The Sleeping Princess	Спящая княжна	Spyashchaya knyazhna	Borodin	1867
My songs are full of poison	Отравой полны мои песни	Otravoy polny moyi pyesni	Heine	1868
The Sea Princess	Морская царевна	Morskaya Tsar'yevna	Borodin	1868
Song of the Dark Woods (Old song)	Песня темного леса (Старая песня)	Pesnya tyomnovo lesa	Borodin	1868
The False Note	Фальшивая нота	Fal'shivaya nota	Borodin	1868
The Sea	Mope	Mor'ye	Borodin	1870
From my tears	Из слез моих	Iz slyoz moyikh	Heine	1870
For the shores of your far homeland	Для берегов отчизны дальной	Dlya beregov otchizny dal'noy	Pushkin	1881
To the people at home	У людей-то в дому	U lyudey-to v domu	Nekrasov	1881
Arabian melody	Арабская мелодия	Arabskaya Melodiya	Borodin	1881
Pride	Спесь	Spjes'	A. K. Tolstoy	1884
The Magic Garden	Чудный сад	Chudnyy sad	Georges Collin	1885
