Week	Date	Opponent	Result	TV Time	Attendance
1	September 7, 2003	at Tennessee Titans	L 25–20	ESPN 5:30pm	68,809
2	September 14, 2003	Cincinnati Bengals	W 23–20	CBS 1:15pm	50,135
3	September 22, 2003	at Denver Broncos	L 31–10	ABC 6:00pm	76,753
4	September 28, 2003	San Diego Chargers	W 34–31 (OT)	CBS 1:15pm	54,078
5	October 5, 2003	at Chicago Bears	L 24–21	CBS 10:00am	61,099
6	October 12, 2003	at Cleveland Browns	L 13–7	CBS 10:00am	73,318
7	October 20, 2003	Kansas City Chiefs	L 17–10	ABC 6:00pm	62,391
8	Bye	Bye	Bye	Bye	Bye
9	November 2, 2003	at Detroit Lions	L 23–13	CBS 10:00am	61,561
10	November 9, 2003	New York Jets	L 27–24	CBS 1:15pm	51,909
11	November 16, 2003	Minnesota Vikings	W 28–18	FOX 1:15pm	56,653
12	November 23, 2003	at Kansas City Chiefs	L 27–24	CBS 1:15pm	78,889
13	November 30, 2003	Denver Broncos	L 22–8	CBS 1:15pm	57,201
14	December 7, 2003	at Pittsburgh Steelers	L 27–7	CBS 10:00am	53,079
15	December 14, 2003	Baltimore Ravens	W 20–12	CBS 1:15pm	45,398
16	December 22, 2003	Green Bay Packers	L 41–7	ABC 6:00pm	62,298
17	December 28, 2003	at San Diego Chargers	L 21–14	CBS 1:15pm	62,222
