Model Number	Frequency	L2-Cache	Front Side Bus	Multiplier	Voltage	Socket
C3 1.0A	1000 MHz	64 KiB	133 MHz	7.5×	1.4 V	Socket 370
C3 1.0B	1000 MHz	64 KiB	133 MHz	7.5×	1.45 V	EBGA
C3 1.1A	1133 MHz	64 KiB	133 MHz	8.5×	1.4 V	Socket 370
C3 1.1B	1133 MHz	64 KiB	133 MHz	8.5×	1.45 V	EBGA
C3 1.2A	1200 MHz	64 KiB	133 MHz	9×	1.45 V	Socket 370
C3 1.2B	1200 MHz	64 KiB	133 MHz	9×	 V	EBGA
C3 1.2C	1200 MHz	64 KiB	200 MHz	6×	 V	EBGA
C3 1.3A	1333 MHz	64 KiB	133 MHz	10×	1.4 V	Socket 370
C3 1.3B	1333 MHz	64 KiB	133 MHz	10×	 V	EBGA
C3 1.3C	1300 MHz	64 KiB	200 MHz	6.5×	 V	EBGA
C3 1.4A	1400 MHz	64 KiB	133 MHz	10.5×	1.4 V	Socket 370
C3 1.4B	1400 MHz	64 KiB	133 MHz	10.5×	 V	EBGA
C3 1.4C	1400 MHz	64 KiB	200 MHz	7×	 V	EBGA
