Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
5-01	53	S03E01	Paving Asphalt	Marshmallow Cookies	s Loudspeaker	Electronic Door Locks
5-02	54	S03E02	Wood Burning Stoves	Orthoses	Ballet Slippers	es Bus
5-03	55	S03E03	Robotic Arms	s Tattoo	s Sanitary Napkin	Concrete s Pipe
5-04	56	S03E04	Hockey Gloves	Snack Cakes	Remoulded Tires	Wastewater Treatment
5-05	57	S03E05	s Ambulance	Dining Room Tables	Diatonic s Accordion	s Acrylic Award
5-06	58	S03E06	Alkaline Batteries	s Wheelchair	s Flute	Cowboy Boots
5-07	59	S03E07	Golf Balls	Furniture Handles	Parking Meters	Room Dividers
5-08	60	S03E08	Suits of Armour	Street Light Poles	Bent Hardwood	Membrane Switches
5-09	61	S03E09	Sulkies	Bagpipes	Yule Logs	Fishing Lures
5-10	62	S03E10	Goalie Pads	Lapel Pins	Cardboard Boxes	Crystal Wine Glasses
5-11	63	S03E11	Cement	Caskets	Soft Drinks	Glider Rockers
5-12	64	S03E12	Kitchen Knives	s Mannequin	s Sock	Hypodermic Needles
