Res.	Record	Opponent	Method	Round	Time	Location
Loss	17-5	Tonya Evinger	TKO (punches)	2	3:16	Salamanca, New York , United States
Loss	17-4	Shayna Baszler	Submission (armbar)	1	2:12	Shawnee, Oklahoma , United States
Loss	17-3	Jan Finney	Decision (split)	3	5:00	Shawnee, Oklahoma , United States
Win	17-2	Sarah Schneider	Submission (rear naked choke)	2	3:07	Shawnee, Oklahoma , United States
Win	16-2	Krista Stufflebeem	TKO (punches)	1	1:06	Iowa , United States
Win	15-2	Sarah Patterson	Submission (armbar)	1	1:36	Hankinson, North Dakota , United States
Win	14-2	Sarah Oriza	Submission (rear naked choke)	1	1:03	Hankinson, North Dakota , United States
Win	13-2	Jessica Nickerson	Submission (punches)	1	0:51	Iowa , United States
Win	12-2	Constance Griffiths	TKO (punches)	1	1:53	Centerville, Iowa , United States
Win	11-2	Lina Kvokov	TKO (punches)	1	0:37	Iowa , United States
Loss	10-2	Kelly Kobold	Submission (punches)	1	3:26	Minneapolis, Minnesota , United States
Win	10-1	Brook Scott	Submission (punches)	1	0:30	Emmetsburg, Iowa , United States
Win	9-1	Heather Brade	Submission (punches)	1	0:27	Marshalltown, Iowa , United States
Win	8-1	Lindsay Franks	TKO (punches)	1	0:46	Davenport, Iowa , United States
Win	7-1	Samantha Smith	Submission (armbar)	1	0:56	Helena, Montana , United States
Win	6-1	Sonya Sargeant	TKO (punches)	1	N/A	Clive, Iowa , United States
Win	5-1	Samantha Smith	Submission (armbar)	1	2:07	Davenport, Iowa , United States
Win	4-1	Amanda Marohl	TKO (punches)	1	1:00	Des Moines, Iowa , United States
Win	3-1	Cindy Romero	Submission (slam)	1	N/A	Rochester, Minnesota , United States
Win	2-1	Shelby Walker	Submission (rear naked choke)	1	1:27	Evansville, Indiana , United States
Loss	1-1	Alisa Cantwell	Submission (punches)	1	1:17	McHenry, Illinois , United States
Win	1-0	Keri Crothers	DQ (illegal strikes)	1	N/A	Lemoore, California , United States
