Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	67-68-70-72=277	–3	1,000,000
2	Phil Mickelson	United States	70-73-67-70=280	E	585,000
3	Jeff Maggert	United States	69-73-68-72=282	+2	362,356
4	Sergio García	Spain	68-74-67-74=283	+3	252,546
T5	Nick Faldo	England	70-76-66-73=285	+5	182,882
T5	Scott Hoch	United States	71-75-70-69=285	+5	182,882
T5	Billy Mayfair	United States	69-74-68-74=285	+5	182,882
T8	Tom Byrum	United States	72-72-70-72=286	+6	138,665
T8	Pádraig Harrington	Ireland	70-68-73-75=286	+6	138,665
T8	Nick Price	Zimbabwe	72-75-69-70=286	+6	138,665
