Year	Total Region	Mackay	Pioneer	Mirani	Sarina
1933	28,124	10,665	9,926	4,412	3,121
1947	32,947	13,486	11,606	4,587	3,268
1954	37,924	14,762	14,316	5,056	3,790
1961	41,196	16,809	15,741	4,760	3,886
1966	48,530	18,640	19,900	5,379	4,611
1971	51,903	19,148	22,561	4,772	5,422
1976	57,903	20,224	26,938	4,889	5,852
1981	66,057	20,664	33,732	4,739	6,922
1986	70,674	22,199	36,084	4,854	7,537
1991	76,372	23,052	40,614	4,625	8,081
1996	86,376	71,894	71,894	5,088	9,394
2001	89,877	75,020	75,020	5,220	9,637
2006	101,525	85,399	85,399	5,406	10,720
