District	Incumbent	Party	First elected	Results	Candidates
Illinois 2	Jesse L. Jackson Jr.	Democratic	1995	Re-elected	Jesse L. Jackson Jr. (D) 90% Robert Gordon (R) 10%
Illinois 3	Bill Lipinski	Democratic	1982	Re-elected	Bill Lipinski (D) 76% Karl Groth (R) 24%
Illinois 4	Luis Gutierrez	Democratic	1992	Re-elected	Luis Gutierrez (D) 89% Stephanie Sailor (I) 11%
Illinois 5	Rod Blagojevich	Democratic	1996	Re-elected	Rod Blagojevich (D) 88%
Illinois 6	Henry Hyde	Republican	1974	Re-elected	Henry Hyde (R) 59% Brent Christensen (D) 41%
Illinois 7	Danny K. Davis	Democratic	1996	Re-elected	Danny K. Davis (D) 86% Robert Dallas (R) 14%
Illinois 8	Phil Crane	Republican	1969	Re-elected	Phil Crane (R) 61% Lance Pressl (D) 39%
Illinois 9	Jan Schakowsky	Democratic	1998	Re-elected	Jan Schakowsky (D) 76% Dennis Driscoll (R) 24%
Illinois 10	John Porter	Republican	1980	Retired Republican hold	Mark Kirk (R) 51% Lauren Beth Gash (D) 49%
Illinois 11	Jerry Weller	Republican	1994	Re-elected	Jerry Weller (R) 56% James Stevenson (D) 44%
Illinois 12	Jerry Costello	Democratic	1988	Re-elected	Jerry Costello (D) unopposed
Illinois 13	Judy Biggert	Republican	1998	Re-elected	Judy Biggert (R) 66% Thomas Mason (D) 34%
Illinois 14	Dennis Hastert	Republican	1986	Re-elected	Dennis Hastert (R) 74% Vern DelJonson (D) 26%
Illinois 15	Thomas W. Ewing	Republican	1998	Retired Republican hold	Timothy V. Johnson (R) 53% Mike Kelleher (D) 47%
Illinois 17	Lane Evans	Democratic	1982	Re-elected	Lane Evans (D) 55% Mark Baker (R) 45%
Illinois 18	Ray LaHood	Republican	1994	Re-elected	Ray LaHood (R) 67% Joyce Harant (D) 33%
Illinois 19	David D. Phelps	Democratic	1998	Re-elected	David D. Phelps (D) 65% Jim Eatherly (R) 35%
