Date	Opponent	Site	Score	Loss
Tuesday, April 6	@ San Diego Padres	Jack Murphy Stadium	W, 1-0	Eichelberger (0-1)
Wednesday, April 7	@ San Diego Padres	Jack Murphy Stadium	W, 6-4	Montefusco (0-1)
Friday, April 9	Houston Astros	Atlanta-Fulton County Stadium	W, 6-2	Sutton (0-1)
Saturday, April 10	Houston Astros	Atlanta-Fulton County Stadium	W, 8-6	Ruhle (0-1)
Sunday, April 11	Houston Astros	Atlanta-Fulton County Stadium	W, 5-0	Ryan (0-2)
Monday, April 12	@ Cincinnati Reds	Riverfront Stadium	W, 6-1	Berenyi (1-1)
Tuesday, April 13	@ Cincinnati Reds	Riverfront Stadium	W, 8-5	Kern (0-1)
Wednesday, April 14	@ Cincinnati Reds	Riverfront Stadium	W, 5-2 (10 innings)	Kern (0-2)
Friday, April 16	@ Houston Astros	Astrodome	W, 5-3	Ryan (0-3)
Saturday, April 17	@ Houston Astros	Astrodome	W, 2-1	J. Niekro (1-1)
Sunday, April 18	@ Houston Astros	Astrodome	W, 6-5	D. Smith (0-1)
Tuesday, April 20	Cincinnati Reds	Atlanta-Fulton County Stadium	W, 4-2	Pastore (1-1)
Wednesday, April 21	Cincinnati Reds	Atlanta-Fulton County Stadium	W, 4-3	Shirley (0-1)
Thursday, April 22	Cincinnati Reds	Atlanta-Fulton County Stadium	L, 1-2	Walk (2-1)
Friday, April 23	San Diego Padres	Atlanta-Fulton County Stadium	L, 3-6 (12 innings)	Camp (2-1)
Saturday, April 24	@ San Diego Padres	Atlanta-Fulton County Stadium	L, 4-6	Garber (1-1)
Monday, April 26	Pittsburgh Pirates	Atlanta-Fulton County Stadium	L, 4-6	McWilliams (2-1)
Tuesday, April 27	Pittsburgh Pirates	Atlanta-Fulton County Stadium	L, 4-10	Walk (2-2)
Wednesday, April 28	Pittsburgh Pirates	Atlanta-Fulton County Stadium	W, 7-6 (10 innings)	Scurry (1-1)
Thursday, April 29	Chicago Cubs	Atlanta-Fulton County Stadium	W, 3-0	Jenkins (2-2)
Friday, April 30	Chicago Cubs	Atlanta-Fulton County Stadium	W, 1-0	Bird (1-4)
