Place	Player	Country	Score	To par
T1	Nolan Henke	United States	67	–5
T1	Payne Stewart	United States	67	–5
3	Tom Byrum	United States	68	–4
T4	Mark Calcavecchia	United States	69	–3
T4	Scott Hoch	United States	69	–3
T4	Brian Kamm	United States	69	–3
T7	Keith Clearwater	United States	70	–2
T7	Fred Couples	United States	70	–2
T7	Jim Gallagher, Jr.	United States	70	–2
T7	David Jackson	United States	70	–2
T7	Davis Love III	United States	70	–2
T7	Jack Nicklaus	United States	70	–2
T7	Craig Parry	Australia	70	–2
T7	Peter Persons	United States	70	–2
T7	Scott Simpson	United States	70	–2
