Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Matra - Ford	90	2:06:42.08	2
Jo Siffert	Lotus - Ford	90	+ 24.52	10
Chris Amon	Ferrari	90	+ 30.51	4
Denny Hulme	McLaren - Ford	90	+ 37.16	7
Jacky Ickx	Brabham - Ford	90	+ 37.67	5
Jack Brabham	Brabham - Ford	90	+ 1:10.81	8
Graham Hill	Lotus - Ford	88	+ 2 laps	3
Jean-Pierre Beltoise	Matra - Ford	87	+ 3 Laps	11
John Surtees	BRM	87	+ 3 Laps	12
Vic Elford	McLaren - Ford	84	+ 6 Laps	15
Silvio Moser	Brabham - Ford	54	Ignition	14
Bruce McLaren	McLaren - Ford	24	Suspension	6
Jochen Rindt	Lotus - Ford	16	Halfshaft	1
Piers Courage	Brabham - Ford	12	Clutch	9
Jackie Oliver	BRM	9	Gearbox	13
