Tournament	Winner	Runner-up	Score	Third Place
Belfast	Anders Järryd	Mikael Pernfors	6–3, 7–6	None
Barcelona	Marcelo Ríos	Michael Stich	6–3, 6–3	Cédric Pioline
Rome *	Thomas Muster	Henri Leconte	6–3, 6–3	None
Hamburg	Michael Stich	Marc-Kevin Goellner	6–2, 7–6(4)	Pat Cash
São Paulo	Pete Sampras	Marcelo Ríos	6–2, 7–6(5)	Jaime Oncins
Istanbul	Goran Ivanišević	Fernando Meligeni	6–4, 6–4	Cédric Pioline
Graz	Patrick Rafter	Michael Stich	6–3, 7–6(4)	Henri Leconte
Algarve	Marcelo Ríos	Goran Ivanišević	6–4 ret.	Sergi Bruguera
Paris	Stefan Edberg	Sergi Bruguera	3–6, 7–5, [10–5]	Cédric Pioline
Luxembourg	John McEnroe	Henri Leconte	6–1, 6–4	Johnny Goudenbour
Eindhoven	Richard Krajicek	Goran Ivanišević	7–6(5), 6–4	Sergi Bruguera
Budapest	Goran Ivanišević	Henri Leconte	7–6(0), 6–3	John McEnroe
London	Cédric Pioline	Greg Rusedski	6–7(4), 7–6(3), [11–9]	None
