Driver	Constructor	Laps	Time/Retired	Grid
Peter Collins	Ferrari	75	2:09:04.2	6
Mike Hawthorn	Ferrari	75	+24.2 secs	4
Roy Salvadori	Cooper - Climax	75	+50.6 secs	3
Stuart Lewis-Evans	Vanwall	75	+50.8 secs	7
Harry Schell	BRM	75	+1:14.8	2
Jack Brabham	Cooper - Climax	75	+1:23.2	10
Tony Brooks	Vanwall	74	+1 Lap	9
Maurice Trintignant	Cooper - Climax	73	+2 Laps	12
Carroll Shelby	Maserati	72	+3 Laps	15
Wolfgang von Trips	Ferrari	59	Engine	11
Jo Bonnier	Maserati	49	Gearbox	13
Gerino Gerini	Maserati	44	Gearbox	18
Ian Burgess	Cooper - Climax	40	Clutch	16
Stirling Moss	Vanwall	25	Engine	1
Cliff Allison	Lotus - Climax	21	Engine	5
Jean Behra	BRM	19	Suspension	8
Ivor Bueb	Connaught - Alta	19	Gearbox	17
Alan Stacey	Lotus - Climax	19	Overheating	20
Graham Hill	Lotus - Climax	17	Overheating	14
Jack Fairman *	Connaught - Alta	7	Ignition	19
