Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9	No. 10
Alabama (2012)	William	James	Mason	John	Jacob	Elijah	Aiden	Michael	Jayden	Noah
Alaska (2012)	James	Ethan	Liam	Gabriel	Jacob, Mason, Noah, William	Michael	Elijah	Robert	Joseph	Tyler
Arizona (2012)	Jacob	Liam	Daniel	Ethan	Anthony	Alexander	Noah	Michael	Mason	Aiden
Arkansas (2012)	William	Mason	James	Jacob	Elijah	Ethan, Hunter	Aiden	Jayden	Gabriel, Jackson	Noah
California (2012)	Jacob	Jayden	Daniel	Ethan	Matthew	Noah	Anthony	Alexander	Nathan	David
Colorado (2012)	Liam	Alexander	Jacob	William	Noah	Elijah	Ethan	Logan	Jackson	Mason
Connecticut (2012)	Mason	Jacob	Michael	Liam	Ethan	Jayden	Anthony	Matthew	Noah	Ryan
Delaware (2012)	Michael	Anthony	Mason	Liam	Alexander, Christopher	Ethan	William	Elijah, Logan	John	Jacob, Jayden
District of Columbia (2012)	William	Alexander	Henry	John	James	Daniel	Benjamin, Samuel	David, Jacob	Anthony, Christopher	Elijah
Florida (2012)	Jayden	Jacob	Ethan	Michael	Mason	Noah	Liam	Alexander	Elijah	Aiden
Georgia (2012)	William	Mason	Jacob	Michael	Jayden	Ethan	Joshua	Elijah	Noah	Aiden
Hawaii (2012)	Ethan	Noah	Mason	Elijah	Logan	Jacob	Liam	James	Daniel, Jayden	Aiden, David, Gabriel, Micah
Idaho (2012)	Liam	William	Mason, Samuel	Logan	Wyatt	Ethan	Michael	Carter	Hunter, Jacob	Aiden, Andrew, Jackson
Illinois (2012)	Jacob	Alexander, Noah	Michael	Ethan	Mason	Liam	Anthony	Jayden	Daniel	William
Indiana (2012)	Liam	Mason	Elijah	Noah	Jacob	William	Jackson	Ethan	Carter	Alexander
Iowa (2012)	Liam	Mason	Carter	William	Owen	Noah	Jacob	Henry	Logan	Jackson
Kansas (2012)	Mason	Liam	William	Noah	Jackson	Jacob	Elijah	Alexander, Henry, Logan	Gabriel	Ethan
Kentucky (2012)	William	Mason	James	Jacob	Noah	Liam	Elijah	Ethan, Jackson	Aiden	Bentley
Louisiana (2012)	Mason	Jayden	William	Noah	Liam	Michael	Ethan, Joshua	Aiden	Elijah	Landon
Maine (2012)	Mason	Liam	Noah	Owen	Jacob	Benjamin, Logan	Wyatt	Carter	Jackson	William
Maryland (2012)	Mason	Michael	Jacob, Noah	Ethan	Liam	William	Joshua	Daniel	Alexander	James
Massachusetts (2012)	Benjamin	Mason, Ryan	William	Jacob	Michael	Noah	Liam	Nathan	Ethan	Joseph
Michigan (2012)	Mason	Liam	Noah	Jacob	Carter	Ethan	Michael	Logan	Lucas	Alexander
Minnesota (2012)	Mason	William	Ethan	Liam	Henry	Owen	Benjamin	Noah	Jackson	Logan
Mississippi (2012)	William	Mason	John	James	Jayden	Aiden	Brayden	Elijah	Noah	Joshua
Missouri (2012)	Mason	William	Liam	Jackson	Jacob	Ethan	Noah	Aiden	Elijah	Landon
Montana (2012)	Liam	William	Wyatt	Mason	James	Jacob	Gabriel	Michael	Hunter	Logan
Nebraska (2012)	Liam	William	Mason	Jackson	Owen	Benjamin	Noah, Samuel	Jacob	Logan	Carter
Nevada (2012)	Alexander	Anthony	Daniel	Jayden	Jacob	Ethan	Mason	Liam	Noah	Aiden
New Hampshire (2012)	Mason	Jackson	Jacob	Liam	Noah	Benjamin, Logan, William	Lucas, Owen	Carter	Joseph	Michael
New Jersey (2012)	Michael	Anthony	Joseph	Jayden	Matthew	Ryan	Jacob	Ethan	Daniel, Mason	Alexander
New Mexico (2012)	Noah	Jacob	Elijah	Jayden	Daniel	Ethan	Gabriel	Josiah, Matthew	Aiden, Caleb, Isaiah, Joshua	David, Jeremiah
New York (2012)	Michael	Jacob	Jayden	Ethan	Mason	Joseph	Matthew	Ryan	Liam	Daniel
North Carolina (2012)	William	Mason	Jacob	Elijah	Noah	Jayden	James	Ethan	Jackson	Michael
