Track	Title	Author(s)	Recorded	Length
1.	"Firedrill"	Tim Finn , Neil Finn , Eddie Rayner	May 1982	3:55
2.	"Your Inspiration"	N. Finn	April 1984	3:49
3.	"Parasite"	T. Finn	October 1983	3:37
4.	" Next Exit "	T. Finn	March 1983	3:40
5.	"Over Drive"	Rayner	September 1984	3:43
6.	"Serge"	N. Finn	AAV Studios, 1984	3:35
7.	"In The Wars"	T. Finn	November 1980	3:06
8.	"Love & Success"	N. Finn	April 1984	3:04
9.	"Big Heart"	T. Finn	April 1984	3:42
10.	"Mr Catalyst"	Rayner, T. Finn	April 1984	3:38
11.	"Remember When"	T. Finn	March 1983	3:15
