Pick	Player	Position	Nationality	NHL team	College/junior/club team
27	Rhett Warrener	Defence	Canada	Florida Panthers	Saskatoon Blades (WHL)
28	Johan Davidsson	Left Wing	Sweden	Mighty Ducks of Anaheim	HV71 (Sweden)
29	Stanislav Neckar	Defence	Czech Republic	Ottawa Senators	HC České Budějovice ( Czech Republic )
30	Deron Quint	Defence	United States	Winnipeg Jets	Seattle Thunderbirds (WHL)
31	Jason Podollan	Right Wing	Canada	Florida Panthers	Spokane Chiefs (WHL)
32	Mike Watt	Left Wing	Canada	Edmonton Oilers	Stratford Cullitons (MOJHL)
33	Matt Johnson	Left Wing	Canada	Los Angeles Kings	Peterborough Petes (OHL)
34	Colin Cloutier	Centre	Canada	Tampa Bay Lightning	Brandon Wheat Kings (WHL)
35	Josef Marha	Centre	Czech Republic	Quebec Nordiques	Dukla Jihlava (Czech Republic)
36	Ryan Johnson	Centre	Canada	Florida Panthers	Thunder Bay Flyers (USHL)
37	Angel Nikolov	Defence	Russia	San Jose Sharks	HC Litvínov (Czech Republic)
38	Jason Holland	Defence	Canada	New York Islanders	Kamloops Blazers (WHL)
39	Robb Gordon	Centre	Canada	Vancouver Canucks	Powell River Kings (BCJHL)
40	Jean-Yves Leroux	Left Wing	Canada	Chicago Blackhawks	Beauport Harfangs (QMJHL)
41	Scott Cherrey	Left Wing	Canada	Washington Capitals	North Bay Centennials (OHL)
42	Dave Scatchard	Centre	Canada	Vancouver Canucks	Portland Winter Hawks (WHL)
43	Curtis Brown	Center	Canada	Buffalo Sabres	Moose Jaw Warriors (WHL)
44	Jose Theodore	Goaltender	Canada	Montreal Canadiens	Saint-Jean Lynx (QMJHL)
45	Dimitri Riabykin	Defence	Russia	Calgary Flames	Moscow Dynamo (Russia)
46	Lee Jinman	Centre	Canada	Dallas Stars	North Bay Centennials (OHL)
47	Daniel Goneau	Left Wing	Canada	Boston Bruins	Laval Titan (QMJHL)
48	Sean Haggerty	Left Wing	United States	Toronto Maple Leafs	Detroit Junior Red Wings (OHL)
49	Mathieu Dandenault	Right Wing	Canada	Detroit Red Wings	Sherbrooke Faucons (QMJHL)
50	Richard Park	Centre	United States	Pittsburgh Penguins	Belleville Bulls (OHL)
51	Patrik Elias	Left Wing	Czech Republic	New Jersey Devils	HC Kladno (Czech Republic)
52	Rudolf Vercik	Left Wing	Slovakia	New York Rangers	HC Slovan Bratislava ( Slovakia )
