Round	Pick	Name	Position	School
1	25	Billy Cannon, Jr.	Linebacker	Texas A&M
2	40	Victor Scott	Safety	Colorado
3	81	Fred Cornwell	Tight End	USC
4	110	Steve DeOssie	Linebacker	Boston College
5	113	Steve Pelluer	Quarterback	Washington
5	137	Norm Granger	Running Back	Iowa
6	152	Eugene Lockhart	Linebacker	Houston
6	166	Joe Levelis	Offensive Guard	Iowa
7	193	Ed Martin	Linebacker	Indiana State
8	222	Mike Revell	Running Back	Bethune-Cookman
9	232	John Hunt	Offensive Guard	Florida
9	249	Neil Maune	Offensive Guard	Notre Dame
10	278	Brian Salonen	Tight End	Montana
11	304	Dowe Aughtman	Defensive Tackle	Auburn
12	334	Carl Lewis	Wide Receiver	Houston
