Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
相棒 7	Aibō 7	TV Asahi	TBA	TBD
篤姫	Atsu-hime	NHK	50	24.5%
おみやさん	Omiya-san	TV Asahi	TBA	TBD
水戸黄門	Mito Komon Season 9	TBS	TBA	TBD
小児救命	Shōni Kyūmei	TV Asahi	9	7.0%
ギラギラ	Giragira	TV Asahi	8	10.2%
サラリーマン金太郎	Salaryman Kintarō	TV Asahi	10	11.8%
イノセント・ラヴ	Innocent Love	Fuji TV	10	13.5%
セレブと貧乏太郎	Celeb to Binbō Tarō	Fuji TV	11	13.1%
チーム・バチスタの栄光	Team Batista no Eikō	Fuji TV	11	13.2%
風のガーデン	Kaze no Garden	Fuji TV	11	15.7%
ROOM OF KING	ROOM OF KING	Fuji TV	9	7.3%
赤い糸	Akai Ito	Fuji TV	11	7.7%
オー！マイ・ガール！！	Oh! My Girl!!	NTV	9	7.5%
ＯＬにっぽん	OL Nippon	NTV	10	8.0%
スクラップ･ティーチャー	Scrap Teacher	NTV	9	11.4%
流星の絆	Ryūsei no Kizuna	TBS	10	16.3%
ブラッディ・マンデイ	Bloody Monday	TBS	11	11.4%
SCANDAL	SCANDAL	TBS	10	13.0%
メン☆ドル	Mendol	TV Tokyo	12	N/A
