Date	Tournament	Surface	Partner	Opponent in Final	Score in Final
February 6, 1984	Richmond WCT , USA	Carpet (i)	John McEnroe	Kevin Curren Steve Denton	7–6, 6–2
October 5, 1987	San Francisco , USA	Carpet (i)	Jim Grabb	Glenn Layendecker Todd Witsken	6–2, 0–6, 6–4
June 12, 1989	French Open , Paris	Clay	Jim Grabb	Mansour Bahrami Eric Winogradsky	6–4, 2–6, 6–4, 7–6
December 10, 1989	Masters Doubles , London	Carpet (i)	Jim Grabb	John Fitzgerald Anders Järryd	7–5, 7–6, 5–7, 6–3
November 12, 1990	Wembley , England	Carpet (i)	Jim Grabb	Rick Leach Jim Pugh	7–6, 4–6, 6–3
September 23, 1991	Basel , Switzerland	Hard (i)	Jakob Hlasek	Petr Korda John McEnroe	3–6, 7–6, 7–6
April 27, 1992	Madrid , Spain	Clay	Patrick Galbraith	Francisco Clavet Carlos Costa	6–3, 6–2
October 5, 1992	Sydney Indoor , Australia	Hard (i)	Jonathan Stark	Jim Grabb Richey Reneberg	6–2, 6–3
November 2, 1992	Paris Indoor , France	Carpet (i)	John McEnroe	Patrick Galbraith Danie Visser	6–4, 6–2
May 10, 1993	Coral Springs , USA	Clay	Jonathan Stark	Paul Annacone Doug Flach	6–4, 6–3
June 7, 1993	Rosmalen , Netherlands	Grass	Jonathan Stark	David Adams Andrei Olhovskiy	7–6, 1–6, 6–4
October 4, 1993	Sydney Indoor , Australia	Hard (i)	Richey Reneberg	Alexander Mronz Lars Rehmann	6–3, 7–5
January 10, 1994	Auckland , New Zealand	Hard	Jared Palmer	Grant Connell Patrick Galbraith	6–2, 4–6, 6–4
September 16, 1994	Basel , Switzerland	Hard (i)	Jared Palmer	Lan Bale John-Laffnie de Jager	6–3, 7–6
February 13, 1995	San Jose , USA	Hard (i)	Jim Grabb	Alex O'Brien Sandon Stolle	3–6, 7–5, 6–0
October 8, 1995	Kuala Lumpur, Malaysia	Carpet (i)	Mark Philippoussis	Grant Connell Patrick Galbraith	7–5, 6–4
